Frame Number, Receipt Time
57, 616064522.406800
62, 616064547.422800
66, 616064561.442700
67, 616064570.363300
69, 616064578.642500
74, 616064601.620500
79, 616064628.288800
81, 616064637.830100
83, 616064646.400700
87, 616064669.279000
90, 616064684.386300
94, 616064701.181900
97, 616064716.922500
99, 616064728.991800
103, 616064746.060400
106, 616064762.318400
109, 616064777.613900
116, 616064811.300300
117, 616064819.685000
120, 616064834.760600
126, 616064861.412900
128, 616064871.055400
130, 616064884.798000
135, 616064910.943300
139, 616064927.690600
142, 616064944.678700
146, 616064961.304400
147, 616064969.460500
151, 616064986.482100
154, 616065002.328800
159, 616065027.843800
162, 616065044.500700
164, 616065051.601400
169, 616065078.166900
172, 616065094.522700
174, 616065103.382200
179, 616065128.984300
181, 616065138.445300
184, 616065153.154900
187, 616065167.688300
192, 616065194.624900
195, 616065206.211400
196, 616065214.131300
201, 616065236.610700
206, 616065263.368500
208, 616065273.387600
212, 616065294.727600
216, 616065311.441100
219, 616065327.649600
222, 616065344.598600
226, 616065361.496800
227, 616065370.835700
229, 616065380.609600
232, 616065394.277000
239, 616065427.786700
241, 616065436.226400
242, 616065445.735800
246, 616065461.303800
251, 616065486.578400
254, 616065501.251600
259, 616065527.575200
262, 616065544.739300
266, 616065561.159000
269, 616065577.827400
272, 616065594.984000
275, 616065610.830000
277, 616065619.137800
281, 616065636.691000
284, 616065651.079900
286, 616065661.217000
289, 616065677.466200
296, 616065711.893200
297, 616065720.739700
299, 616065730.291200
304, 616065751.976200
309, 616065777.802900
311, 616065786.030000
312, 616065794.790400
319, 616065827.737400
322, 616065844.932800
324, 616065852.130400
327, 616065868.324800
332, 616065894.210900
336, 616065911.031500
337, 616065920.792500
340, 616065934.584300
346, 616065961.144100
349, 616065977.830700
352, 616065994.365100
354, 616066004.257900
356, 616066015.232900
362, 616066044.803000
364, 616066052.977200
366, 616066062.759800
374, 616066101.141500
376, 616066113.305700
378, 616066122.792900
380, 616066135.677400
382, 616066144.285200
387, 616066169.958900
392, 616066194.443000
394, 616066204.252100
399, 616066227.999900
401, 616066238.572400
404, 616066252.403900
407, 616066269.671000
410, 616066285.407600
414, 616066302.413700
417, 616066317.540900
419, 616066329.149000
422, 616066345.942000
426, 616066361.590500
429, 616066377.679200
436, 616066411.335500
437, 616066420.576500
442, 616066444.287800
447, 616066466.995800
449, 616066477.541300
451, 616066486.002800
453, 616066500.888300
457, 616066517.905800
460, 616066534.364300
466, 616066561.315600
469, 616066577.913700
472, 616066594.643400
474, 616066603.191300
476, 616066613.855200
480, 616066634.932000
484, 616066651.154400
489, 616066677.565100
492, 616066694.902700
496, 616066711.051400
498, 616066721.819800
499, 616066730.212900
506, 616066761.357200
507, 616066769.593000
509, 616066779.073800
516, 616066811.366300
517, 616066820.402500
522, 616066844.596000
526, 616066861.077900
527, 616066869.463600
531, 616066886.287000
537, 616066917.766900
539, 616066927.958200
541, 616066940.966800
543, 616066949.193300
547, 616066967.925800
552, 616066995.246300
554, 616067003.315000
556, 616067012.779300
560, 616067035.948300
566, 616067061.116800
567, 616067069.560700
569, 616067078.067100
576, 616067111.188300
577, 616067120.616800
2, 616067136.136600
6, 616067153.864900
11, 616067177.585000
13, 616067187.871400
16, 616067202.155100
19, 616067219.708600
