Frame Number, Receipt Time
364, 616372393.068300
367, 616372406.986600
371, 616372424.693400
374, 616372442.525600
377, 616372456.675500
381, 616372474.823200
384, 616372489.815600
387, 616372508.131700
391, 616372524.561300
394, 616372540.286600
397, 616372558.262100
400, 616372573.318400
404, 616372591.491900
406, 616372599.638100
409, 616372614.693000
414, 616372641.551900
416, 616372654.359100
418, 616372663.887100
421, 616372676.119100
427, 616372706.532900
430, 616372723.237600
434, 616372741.599400
438, 616372763.593700
441, 616372774.507600
442, 616372783.301300
447, 616372808.070200
451, 616372824.633800
452, 616372832.852800
457, 616372856.742300
461, 616372874.628700
462, 616372882.602500
467, 616372908.339900
471, 616372924.774400
472, 616372931.772300
477, 616372956.626500
480, 616372973.371200
482, 616372981.649300
487, 616373008.269300
491, 616373024.520200
492, 616373033.879700
496, 616373050.363300
498, 616373064.150400
502, 616373081.312500
505, 616373098.541100
509, 616373114.506900
512, 616373131.317700
517, 616373157.985200
521, 616373174.932800
524, 616373191.202000
527, 616373208.135800
531, 616373225.042700
532, 616373232.928600
537, 616373258.086600
541, 616373274.645800
543, 616373284.337400
547, 616373307.084800
551, 616373324.765400
552, 616373333.500900
557, 616373357.970600
561, 616373374.628600
562, 616373382.047600
567, 616373408.346900
571, 616373424.428000
574, 616373440.065600
577, 616373458.316500
2, 616373473.697200
6, 616373491.514800
9, 616373506.563900
13, 616373524.411000
16, 616373543.202900
19, 616373556.698700
23, 616373574.484400
26, 616373590.234100
29, 616373608.246600
33, 616373624.698800
34, 616373632.877200
39, 616373657.053200
43, 616373674.730900
44, 616373683.885900
49, 616373706.662500
53, 616373724.660100
54, 616373733.316300
59, 616373757.098200
62, 616373773.438300
64, 616373782.038800
69, 616373806.575000
71, 616373815.261200
73, 616373825.770100
79, 616373856.533100
81, 616373865.355400
84, 616373879.863000
87, 616373898.323300
91, 616373914.561100
93, 616373927.401300
96, 616373943.029100
100, 616373959.540400
103, 616373976.471300
106, 616373991.732600
111, 616374014.545800
116, 616374041.635000
119, 616374058.267000
121, 616374067.151400
126, 616374090.274500
129, 616374106.635100
131, 616374115.179200
136, 616374142.040600
139, 616374158.102600
141, 616374168.022600
144, 616374179.911100
