Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
813084, 615120426.462100, 0.003155, 0.000172, 0.001169, 0.000117, 
813088, 615120447.853400, 0.003325, 0.000420, 0.001219, 0.000099, 
813089, 615120454.419400, 0.003362, 0.000139, 0.001030, 0.000094, 
813090, 615120458.009500, 0.003111, 0.000155, 0.001108, 0.000110, 
813091, 615120461.497400, 0.003329, 0.000378, 0.001407, 0.000105, 
813092, 615120465.789400, 0.003228, 0.000141, 0.001049, 0.000101, 
813093, 615120471.399100, 0.003312, 0.000396, 0.001258, 0.000108, 
813094, 615120475.929300, 0.003278, 0.000150, 0.001096, 0.000104, 
813095, 615120480.784500, 0.003219, 0.000143, 0.001009, 0.000097, 
813096, 615120486.636000, 0.003347, 0.000666, 0.001182, 0.000105, 
813097, 615120491.035500, 0.003329, 0.000167, 0.001146, 0.000101, 
813098, 615120495.893000, 0.003316, 0.000142, 0.001061, 0.000094, 
813099, 615120501.474800, 0.003354, 0.000307, 0.001389, 0.000102, 
813100, 615120506.230100, 0.003311, 0.000320, 0.001206, 0.000116, 
813101, 615120511.008800, 0.003270, 0.000175, 0.001184, 0.000108, 
813102, 615120516.605900, 0.003351, 0.000380, 0.001456, 0.000094, 
813103, 615120521.261000, 0.003250, 0.000154, 0.001457, 0.000118, 
813104, 615120525.879700, 0.003241, 0.000155, 0.001097, 0.000107, 
813105, 615120531.349000, 0.003314, 0.000360, 0.001251, 0.000099, 
813106, 615120538.975600, 0.003249, 0.000150, 0.001167, 0.000107, 
813107, 615120542.929100, 0.003305, 0.000164, 0.001146, 0.000108, 
813108, 615120546.588600, 0.003412, 0.000401, 0.001338, 0.000100, 0.000069
813109, 615120550.972500, 0.003241, 0.000169, 0.001173, 0.000114, 0.000067
813110, 615120556.113600, 0.003318, 0.000158, 0.001218, 0.000115, 0.000067
813111, 615120560.912300, 0.003286, 0.000148, 0.001099, 0.000101, 0.000066
813112, 615120565.872800, 0.003183, 0.000153, 0.001118, 0.000098, 0.000066
813113, 615120571.492200, 0.003463, 0.000391, 0.001247, 0.000113, 0.000064
813114, 615120575.978800, 0.003342, 0.000155, 0.001105, 0.000101, 0.000064
813115, 615120580.870500, 0.003242, 0.000152, 0.001101, 0.000114, 0.000064
813116, 615120585.979700, 0.003218, 0.000160, 0.001191, 0.000111, 0.000064
813117, 615120590.929600, 0.003227, 0.000156, 0.001149, 0.000107, 0.000066
813118, 615120595.901000, 0.003220, 0.000157, 0.001131, 0.000106, 0.000066
813119, 615120601.115200, 0.003297, 0.000208, 0.001220, 0.000107, 0.000061
813120, 615120606.059500, 0.003204, 0.000175, 0.001248, 0.000126, 0.000061
813121, 615120611.085300, 0.003220, 0.000175, 0.001285, 0.000112, 0.000063
813122, 615120616.369900, 0.003354, 0.000388, 0.001199, 0.000100, 0.000063
813123, 615120620.985900, 0.003324, 0.000156, 0.001136, 0.000102, 0.000063
813124, 615120626.437800, 0.003331, 0.000356, 0.001320, 0.000111, 0.000063
813125, 615120630.866900, 0.003234, 0.000167, 0.001102, 0.000101, 0.000063
813126, 615120636.458300, 0.003365, 0.000471, 0.001197, 0.000107, 0.000063
813127, 615120640.983700, 0.003176, 0.000145, 0.001139, 0.000096, 0.000063
813128, 615120645.847000, 0.003181, 0.000153, 0.001091, 0.000097, 0.000063
813129, 615120651.442000, 0.003362, 0.000384, 0.001275, 0.000101, 0.000064
813130, 615120655.906000, 0.003283, 0.000136, 0.001069, 0.000098, 0.000064
813131, 615120660.955600, 0.003229, 0.000164, 0.001188, 0.000106, 0.000064
813132, 615120666.084300, 0.003387, 0.000160, 0.001164, 0.000103, 0.000064
813133, 615120671.552000, 0.003388, 0.000380, 0.001396, 0.000104, 0.000064
813134, 615120676.505900, 0.003446, 0.000394, 0.001272, 0.000108, 0.000064
813135, 615120681.035500, 0.003356, 0.000153, 0.001141, 0.000108, 0.000065
813136, 615120686.596900, 0.003413, 0.000657, 0.001160, 0.000106, 0.000065
813137, 615120691.114500, 0.003237, 0.000167, 0.001301, 0.000127, 0.000067
813138, 615120696.102300, 0.003368, 0.000166, 0.001179, 0.000113, 0.000067
813139, 615120701.316000, 0.003410, 0.000378, 0.001151, 0.000101, 0.000068
813140, 615120706.582200, 0.003408, 0.000400, 0.001380, 0.000107, 0.000068
813141, 615120710.861500, 0.003228, 0.000154, 0.001098, 0.000109, 0.000067
813142, 615120715.847100, 0.003232, 0.000144, 0.001049, 0.000100, 0.000067
813143, 615120720.912800, 0.003188, 0.000148, 0.001153, 0.000108, 0.000066
813144, 615120725.929700, 0.003234, 0.000160, 0.001149, 0.000108, 0.000066
813145, 615120730.881200, 0.003185, 0.000148, 0.001125, 0.000107, 0.000068
813146, 615120736.006100, 0.003318, 0.000146, 0.001122, 0.000100, 0.000068
813147, 615120740.939600, 0.003158, 0.000169, 0.001107, 0.000103, 0.000069
813148, 615120746.624900, 0.003362, 0.000449, 0.001394, 0.000099, 0.000069
813149, 615120750.873000, 0.003217, 0.000154, 0.001116, 0.000099, 0.000067
813150, 615120756.691400, 0.003233, 0.000167, 0.001156, 0.000104, 0.000067
813151, 615120760.914800, 0.003213, 0.000142, 0.001136, 0.000094, 0.000070
813152, 615120765.921600, 0.003320, 0.000167, 0.001031, 0.000089, 0.000070
813153, 615120770.913700, 0.003238, 0.000160, 0.001143, 0.000103, 0.000070
813154, 615120776.096100, 0.003397, 0.000168, 0.001162, 0.000104, 0.000070
813155, 615120781.344300, 0.003421, 0.000368, 0.001188, 0.000106, 0.000069
813156, 615120785.886100, 0.003231, 0.000165, 0.001101, 0.000119, 0.000069
813157, 615120791.449100, 0.003377, 0.000375, 0.001300, 0.000105, 0.000066
813158, 615120795.952500, 0.003333, 0.000168, 0.001089, 0.000100, 0.000066
813159, 615120800.886100, 0.003181, 0.000155, 0.001116, 0.000108, 0.000064
813160, 615120806.516000, 0.003365, 0.000445, 0.001326, 0.000102, 0.000064
813161, 615120810.840500, 0.003237, 0.000148, 0.001086, 0.000105, 0.000066
813162, 615120815.807900, 0.003182, 0.000151, 0.001063, 0.000094, 0.000066
813163, 615120821.587400, 0.003391, 0.000414, 0.001411, 0.000101, 0.000067
813164, 615120826.363700, 0.003408, 0.000383, 0.001210, 0.000099, 0.000067
813165, 615120831.084800, 0.003406, 0.000154, 0.001169, 0.000096, 0.000065
813166, 615120836.401900, 0.003376, 0.000367, 0.001284, 0.000104, 0.000065
813167, 615120840.940900, 0.003345, 0.000145, 0.001088, 0.000104, 0.000066
813168, 615120845.942400, 0.003350, 0.000182, 0.001040, 0.000110, 0.000066
813169, 615120850.852500, 0.003226, 0.000157, 0.001092, 0.000109, 0.000066
813170, 615120856.472700, 0.003364, 0.000376, 0.001366, 0.000102, 0.000066
813171, 615120860.839900, 0.003264, 0.000150, 0.001065, 0.000097, 0.000063
813172, 615120865.889700, 0.003275, 0.000152, 0.001096, 0.000101, 0.000063
813173, 615120870.980100, 0.003187, 0.000190, 0.001176, 0.000108, 0.000065
813174, 615120876.408700, 0.003330, 0.000392, 0.001311, 0.000104, 0.000065
813175, 615120880.956600, 0.003258, 0.000165, 0.001148, 0.000114, 0.000065
813176, 615120886.402600, 0.003409, 0.000370, 0.001242, 0.000106, 0.000065
813177, 615120890.924700, 0.003306, 0.000141, 0.001099, 0.000106, 0.000063
813178, 615120895.912500, 0.003183, 0.000155, 0.001149, 0.000108, 0.000063
813179, 615120900.962700, 0.003364, 0.000152, 0.001077, 0.000102, 0.000064
813180, 615120905.857400, 0.003248, 0.000131, 0.001056, 0.000100, 0.000064
813181, 615120910.856900, 0.003190, 0.000141, 0.001115, 0.000101, 0.000062
813182, 615120916.068000, 0.003367, 0.000152, 0.001184, 0.000103, 0.000062
813183, 615120921.086100, 0.003299, 0.000208, 0.001188, 0.000121, 0.000062
813184, 615120926.007600, 0.003226, 0.000175, 0.001210, 0.000118, 0.000062
813185, 615120931.049100, 0.003325, 0.000157, 0.001204, 0.000095, 0.000062
813186, 615120935.946400, 0.003343, 0.000155, 0.001079, 0.000105, 0.000062
813187, 615120940.931800, 0.003232, 0.000156, 0.001125, 0.000096, 0.000061
813188, 615120946.514900, 0.003419, 0.000404, 0.001322, 0.000104, 0.000061
813189, 615120950.746600, 0.003251, 0.000138, 0.001007, 0.000097, 0.000061
813190, 615120955.980600, 0.003126, 0.000176, 0.001167, 0.000123, 0.000061
813191, 615120961.034200, 0.003345, 0.000156, 0.001143, 0.000113, 0.000062
813192, 615120966.091600, 0.003214, 0.000149, 0.001290, 0.000113, 0.000062
813193, 615120971.601300, 0.003373, 0.000377, 0.001459, 0.000117, 0.000060
813194, 615120975.922100, 0.003306, 0.000144, 0.001097, 0.000106, 0.000060
813195, 615120980.925700, 0.003312, 0.000157, 0.001096, 0.000099, 0.000062
813196, 615120986.724400, 0.003363, 0.000681, 0.001250, 0.000108, 0.000062
813197, 615120990.920200, 0.003231, 0.000169, 0.001125, 0.000113, 0.000064
813198, 615120996.416500, 0.003368, 0.000382, 0.001245, 0.000100, 0.000064
813199, 615121000.953100, 0.003357, 0.000144, 0.001100, 0.000093, 0.000062
813200, 615121005.970500, 0.003245, 0.000163, 0.001183, 0.000107, 0.000062
813201, 615121011.497700, 0.003327, 0.000368, 0.001367, 0.000103, 0.000063
813202, 615121016.360000, 0.003411, 0.000389, 0.001198, 0.000100, 0.000063
813203, 615121021.270600, 0.003253, 0.000195, 0.001429, 0.000113, 0.000064
813204, 615121025.920300, 0.003339, 0.000162, 0.001049, 0.000102, 0.000064
813205, 615121030.920000, 0.003201, 0.000144, 0.001144, 0.000106, 0.000064
813206, 615121035.977800, 0.003266, 0.000167, 0.001163, 0.000112, 0.000064
813207, 615121041.371100, 0.003363, 0.000403, 0.001225, 0.000110, 0.000064
813208, 615121046.057000, 0.003395, 0.000150, 0.001156, 0.000102, 0.000064
813209, 615121050.866400, 0.003188, 0.000154, 0.001115, 0.000102, 0.000064
813210, 615121056.467700, 0.003261, 0.000551, 0.001170, 0.000109, 0.000064
813211, 615121060.966500, 0.003303, 0.000151, 0.001129, 0.000106, 0.000063
813212, 615121065.964800, 0.003237, 0.000162, 0.001196, 0.000106, 0.000063
813213, 615121071.407800, 0.003335, 0.000389, 0.001310, 0.000106, 0.000064
813214, 615121076.440100, 0.003413, 0.000370, 0.001303, 0.000096, 0.000064
813215, 615121080.866300, 0.003239, 0.000152, 0.001117, 0.000104, 0.000062
813216, 615121086.045300, 0.003386, 0.000148, 0.001135, 0.000111, 0.000062
813217, 615121090.917300, 0.003266, 0.000163, 0.001126, 0.000104, 0.000060
813218, 615121095.837900, 0.003191, 0.000152, 0.001087, 0.000103, 0.000060
813219, 615121101.398000, 0.003368, 0.000376, 0.001283, 0.000102, 0.000061
813220, 615121106.439200, 0.003369, 0.000386, 0.001314, 0.000107, 0.000061
813221, 615121111.051100, 0.003387, 0.000160, 0.001137, 0.000103, 0.000060
813222, 615121116.432600, 0.003421, 0.000373, 0.001269, 0.000104, 0.000060
813223, 615121121.010600, 0.003464, 0.000143, 0.001048, 0.000099, 0.000059
813224, 615121125.827200, 0.003193, 0.000147, 0.001104, 0.000090, 0.000059
813226, 615121139.259500, 0.003178, 0.000168, 0.001150, 0.000109, 0.000059
813227, 615121143.181800, 0.003376, 0.000167, 0.001186, 0.000106, 0.000059
813228, 615121146.558600, 0.003413, 0.000388, 0.001265, 0.000099, 0.000059
813229, 615121150.818300, 0.003224, 0.000162, 0.001065, 0.000101, 0.000060
813230, 615121156.052400, 0.003212, 0.000153, 0.001212, 0.000104, 0.000060
813231, 615121160.872500, 0.003190, 0.000157, 0.001098, 0.000113, 0.000060
813232, 615121166.015200, 0.003383, 0.000148, 0.001123, 0.000103, 0.000060
813233, 615121170.954300, 0.003342, 0.000162, 0.001097, 0.000104, 0.000059
813234, 615121175.868300, 0.003181, 0.000156, 0.001106, 0.000108, 0.000059
813235, 615121181.476600, 0.003369, 0.000431, 0.001307, 0.000108, 0.000059
813236, 615121185.977700, 0.003318, 0.000149, 0.001153, 0.000103, 0.000059
813237, 615121190.912500, 0.003047, 0.000159, 0.001097, 0.000110, 0.000060
813238, 615121196.643200, 0.003434, 0.000411, 0.001221, 0.000105, 0.000060
813239, 615121202.564300, 0.003356, 0.000153, 0.001158, 0.000097, 0.000061
813240, 615121208.087700, 0.003179, 0.000169, 0.001120, 0.000101, 0.000061
813241, 615121211.620900, 0.003371, 0.000383, 0.001310, 0.000102, 0.000062
813242, 615121215.919100, 0.003260, 0.000148, 0.001095, 0.000102, 0.000061
813243, 615121221.107500, 0.003186, 0.000172, 0.001324, 0.000116, 0.000062
813244, 615121226.504200, 0.003405, 0.000423, 0.001304, 0.000099, 0.000062
813245, 615121230.905700, 0.003378, 0.000153, 0.001035, 0.000105, 0.000062
813246, 615121236.165600, 0.003317, 0.000162, 0.001226, 0.000110, 0.000062
813247, 615121241.031000, 0.003309, 0.000187, 0.001141, 0.000111, 0.000062
813248, 615121246.602700, 0.003311, 0.000368, 0.001498, 0.000105, 0.000062
813249, 615121251.718600, 0.003365, 0.000649, 0.001322, 0.000114, 0.000060
813250, 615121256.441800, 0.003362, 0.000367, 0.001329, 0.000102, 0.000060
813251, 615121260.931000, 0.003317, 0.000159, 0.001096, 0.000098, 0.000060
813252, 615121266.052200, 0.003338, 0.000151, 0.001161, 0.000097, 0.000060
813253, 615121271.103300, 0.003227, 0.000168, 0.001330, 0.000110, 0.000060
813254, 615121276.486600, 0.003399, 0.000371, 0.001348, 0.000103, 0.000060
813255, 615121281.282700, 0.003267, 0.000204, 0.001200, 0.000105, 0.000060
813256, 615121285.993400, 0.003353, 0.000149, 0.001137, 0.000097, 0.000060
813257, 615121290.917800, 0.003104, 0.000149, 0.001094, 0.000095, 0.000060
813258, 615121296.534100, 0.003357, 0.000373, 0.001405, 0.000103, 0.000060
813259, 615121300.907600, 0.003252, 0.000158, 0.001140, 0.000112, 0.000061
813260, 615121306.523800, 0.003258, 0.000402, 0.001374, 0.000106, 0.000061
813261, 615121311.384600, 0.003323, 0.000371, 0.001323, 0.000102, 0.000060
