Frame Number, Timestamp
101507, 615120112.433600
101508, 615120112.469900
101509, 615120112.478100
101510, 615120112.482500
101511, 615120112.486600
101512, 615120112.491100
101513, 615120112.495400
101514, 615120112.499600
101515, 615120112.519200
101516, 615120112.527800
813022, 615120115.900100
813023, 615120121.543000
813024, 615120125.986900
813025, 615120130.923500
813026, 615120136.501700
813027, 615120141.377200
813028, 615120145.953600
813029, 615120150.828700
813030, 615120156.496400
813031, 615120160.930300
813032, 615120166.095100
813033, 615120170.878500
813034, 615120175.877500
813035, 615120180.833600
813036, 615120186.437400
813037, 615120191.024100
813038, 615120195.987000
813039, 615120200.826500
813040, 615120205.909800
813041, 615120211.386200
813042, 615120215.858600
813043, 615120220.935200
813044, 615120226.443400
813045, 615120230.918800
813046, 615120236.793300
813047, 615120241.015800
813048, 615120245.886700
813049, 615120251.001400
813050, 615120256.461700
813051, 615120261.320000
813052, 615120266.586200
813053, 615120271.589800
813054, 615120276.468100
813055, 615120281.106900
813056, 615120285.976400
813057, 615120291.015900
813058, 615120296.411400
813059, 615120300.887400
813060, 615120306.504900
813061, 615120310.907400
813062, 615120315.873100
813063, 615120321.615600
813064, 615120326.029900
813065, 615120330.919800
813066, 615120336.818200
813067, 615120340.997300
813068, 615120345.843100
813069, 615120350.870800
813070, 615120356.414500
813071, 615120360.913100
813072, 615120365.961300
813073, 615120370.952200
813074, 615120375.950400
813075, 615120380.920800
813076, 615120385.901000
813077, 615120390.981200
813078, 615120396.531000
813079, 615120401.435400
813080, 615120406.495700
813081, 615120410.809500
813082, 615120416.313900
813083, 615120421.063900
813084, 615120425.958600
813085, 615120430.948800
813086, 615120435.924500
813087, 615120440.947000
813088, 615120446.375100
813089, 615120450.881100
813090, 615120455.862600
813091, 615120461.476300
813092, 615120465.770400
813093, 615120471.376200
813094, 615120475.908700
813095, 615120480.765500
813096, 615120486.612500
813097, 615120491.017000
813098, 615120495.869100
813099, 615120501.451600
813100, 615120506.209600
813101, 615120510.989000
813102, 615120516.582100
813103, 615120521.241200
813104, 615120525.857700
813105, 615120531.325300
813106, 615120535.926400
813107, 615120540.982200
813108, 615120546.534800
813109, 615120550.951100
813110, 615120556.088600
813111, 615120560.892200
813112, 615120565.852900
813113, 615120571.468400
813114, 615120575.958000
813115, 615120580.851000
813116, 615120585.958400
813117, 615120590.909600
813118, 615120595.880100
813119, 615120601.090800
813120, 615120606.040500
813121, 615120611.063200
813122, 615120616.346400
813123, 615120620.965700
813124, 615120626.411700
813125, 615120630.847000
813126, 615120636.434200
813127, 615120640.964000
813128, 615120645.822800
813129, 615120651.417400
813130, 615120655.885500
813131, 615120660.935100
813132, 615120666.062800
813133, 615120671.526200
813134, 615120676.485000
813135, 615120681.015500
813136, 615120686.572400
813137, 615120691.091400
813138, 615120696.083000
813139, 615120701.291300
813140, 615120706.558200
813141, 615120710.841500
813142, 615120715.826600
813143, 615120720.892100
813144, 615120725.907600
813145, 615120730.861700
813146, 615120735.985800
813147, 615120740.919000
813148, 615120746.600100
813149, 615120750.849800
813150, 615120756.663400
813151, 615120760.889500
813152, 615120765.901100
813153, 615120770.891300
813154, 615120776.075700
813155, 615120781.324400
813156, 615120785.864000
813157, 615120791.426700
813158, 615120795.932100
813159, 615120800.862900
813160, 615120806.492400
813161, 615120810.819300
813162, 615120815.787000
813163, 615120821.563000
813164, 615120826.342500
813165, 615120831.065200
813166, 615120836.382500
813167, 615120840.922000
813168, 615120845.922800
813169, 615120850.830900
813170, 615120856.450400
813171, 615120860.818100
813172, 615120865.867100
813173, 615120870.960600
813174, 615120876.386700
813175, 615120880.935500
813176, 615120886.381400
813177, 615120890.905200
813178, 615120895.890900
813179, 615120900.940900
813180, 615120905.832800
813181, 615120910.833400
813182, 615120916.048700
813183, 615120921.061700
813184, 615120925.987500
813185, 615120931.029100
813186, 615120935.922500
813187, 615120940.907000
813188, 615120946.490800
813189, 615120950.725500
813190, 615120955.956000
813191, 615120961.010700
813192, 615120966.066900
813193, 615120971.577400
813194, 615120975.902300
813195, 615120980.901200
813196, 615120986.699700
813197, 615120990.901100
813198, 615120996.390300
813199, 615121000.931700
813200, 615121005.946700
813201, 615121011.472600
813202, 615121016.338100
813203, 615121021.246200
813204, 615121025.897100
813205, 615121030.895600
813206, 615121035.954500
813207, 615121041.345900
813208, 615121046.037700
813209, 615121050.847200
813210, 615121056.443500
813211, 615121060.945100
813212, 615121065.940400
813213, 615121071.378000
813214, 615121076.418200
813215, 615121080.847100
813216, 615121086.021100
813217, 615121090.896300
813218, 615121095.818800
813219, 615121101.374300
813220, 615121106.416300
813221, 615121111.026700
813222, 615121116.407400
813223, 615121120.989800
813224, 615121125.807500
813225, 615121130.899600
813226, 615121135.902400
813227, 615121141.077000
813228, 615121146.408100
813229, 615121150.798500
813230, 615121156.032500
813231, 615121160.849800
813232, 615121165.995800
813233, 615121170.934900
813234, 615121175.847100
813235, 615121181.456900
813236, 615121185.956900
813237, 615121190.892800
813238, 615121196.413700
813239, 615121201.000800
813240, 615121205.863600
813241, 615121211.405500
813242, 615121215.841900
813243, 615121221.087900
813244, 615121226.482400
813245, 615121230.886400
813246, 615121236.145100
813247, 615121241.011300
813248, 615121246.578600
813249, 615121251.699500
813250, 615121256.420600
813251, 615121260.911300
813252, 615121266.032300
813253, 615121271.083700
813254, 615121276.464300
813255, 615121281.011800
813256, 615121285.973700
813257, 615121290.898500
813258, 615121296.512000
813259, 615121300.887300
813260, 615121306.499600
813261, 615121311.358000
813262, 615121315.851900
813263, 615121321.388700
813264, 615121325.931300
813265, 615121331.063800
813266, 615121336.143500
813267, 615121340.890000
813268, 615121345.859900
813269, 615121351.044600
813270, 615121355.828700
813271, 615121360.863900
813272, 615121366.438000
813273, 615121371.586500
813274, 615121376.441200
813275, 615121381.331700
813276, 615121386.596100
813277, 615121390.892300
813278, 615121396.439300
813279, 615121400.934900
813280, 615121406.391500
813281, 615121410.847300
813282, 615121415.987500
