Frame Number, Receipt Time
533, 617107315.272700
537, 617107334.057200
541, 617107349.319300
544, 617107366.055500
547, 617107382.583500
551, 617107399.261200
553, 617107411.904300
560, 617107442.970900
561, 617107452.687100
566, 617107475.682600
570, 617107492.967800
571, 617107501.903500
576, 617107524.982100
1, 617107542.387100
3, 617107551.585900
8, 617107574.945600
11, 617107591.716700
15, 617107609.972700
17, 617107617.949300
21, 617107641.760200
23, 617107650.364500
28, 617107676.493000
32, 617107693.559000
33, 617107702.415400
36, 617107715.920400
42, 617107742.928400
45, 617107759.872400
48, 617107776.623300
52, 617107793.013400
55, 617107811.665700
58, 617107826.812500
62, 617107842.939600
65, 617107859.695000
68, 617107874.844300
72, 617107892.867400
75, 617107909.538900
78, 617107924.791000
82, 617107942.961300
85, 617107958.365800
88, 617107976.609800
90, 617107985.076400
95, 617108008.590100
98, 617108026.176100
100, 617108034.232400
105, 617108058.844500
107, 617108069.447600
109, 617108079.435200
115, 617108109.635700
118, 617108126.231400
120, 617108133.303200
123, 617108152.009400
128, 617108176.106400
133, 617108200.640400
135, 617108209.125800
138, 617108225.322500
141, 617108241.774600
145, 617108259.702000
148, 617108276.365100
150, 617108284.570300
155, 617108309.928300
158, 617108326.332100
160, 617108333.246700
165, 617108358.725200
168, 617108376.116500
170, 617108384.146000
175, 617108409.722300
178, 617108426.236600
180, 617108434.289600
183, 617108449.502100
188, 617108475.427900
191, 617108491.633600
193, 617108500.222700
196, 617108514.762600
199, 617108532.690800
203, 617108549.576300
205, 617108561.581100
211, 617108592.183000
215, 617108608.358600
218, 617108625.962800
221, 617108641.692600
225, 617108660.027900
228, 617108676.535000
232, 617108694.286800
235, 617108709.626000
238, 617108724.769200
242, 617108743.000000
243, 617108751.401000
248, 617108775.291900
252, 617108793.132500
255, 617108811.302000
258, 617108824.947500
262, 617108843.066500
265, 617108858.259100
268, 617108875.951100
271, 617108891.780700
275, 617108909.533700
278, 617108925.173000
282, 617108942.786700
285, 617108958.807200
290, 617108984.253900
292, 617108994.102400
293, 617109002.292200
298, 617109026.242900
303, 617109051.324500
305, 617109061.615800
308, 617109076.179800
310, 617109084.120700
315, 617109109.736100
318, 617109126.185800
320, 617109135.081500
325, 617109158.615500
329, 617109178.522500
330, 617109185.448700
333, 617109198.120300
338, 617109225.954600
342, 617109242.972600
343, 617109251.427200
346, 617109265.101100
352, 617109292.829200
355, 617109310.066600
357, 617109318.012400
359, 617109331.436300
363, 617109349.326000
366, 617109364.563300
369, 617109382.316300
375, 617109409.712700
379, 617109427.766200
382, 617109442.947800
385, 617109459.734300
388, 617109476.097100
390, 617109483.982600
395, 617109509.951400
398, 617109526.306600
400, 617109534.257300
405, 617109559.482900
408, 617109576.224700
410, 617109583.082000
415, 617109608.475400
418, 617109625.034300
420, 617109634.143500
425, 617109658.298800
428, 617109676.341900
431, 617109691.705700
435, 617109709.912000
437, 617109717.975500
439, 617109731.510900
445, 617109759.758800
448, 617109776.131500
452, 617109793.502200
455, 617109808.452200
458, 617109826.186300
462, 617109843.130000
465, 617109860.178200
468, 617109876.416400
471, 617109891.558200
472, 617109895.310200
478, 617109926.199600
482, 617109943.833300
485, 617109959.869200
488, 617109974.840600
490, 617109983.009000
495, 617110009.827600
498, 617110026.252300
500, 617110033.166200
505, 617110058.606200
508, 617110074.903100
510, 617110082.962600
513, 617110099.652800
517, 617110119.240400
519, 617110132.701100
522, 617110144.618000
528, 617110175.189300
531, 617110191.779500
535, 617110208.162600
540, 617110233.331600
542, 617110242.863900
545, 617110258.747600
547, 617110269.167800
551, 617110291.520600
555, 617110309.885600
557, 617110317.739000
561, 617110341.713500
565, 617110359.613300
566, 617110367.657300
571, 617110391.693500
575, 617110409.679600
577, 617110417.933400
3, 617110442.104500
5, 617110450.535100
8, 617110466.088000
12, 617110482.851500
15, 617110500.185400
18, 617110516.081000
22, 617110534.040600
24, 617110544.108800
30, 617110574.945900
34, 617110593.006600
35, 617110601.251100
40, 617110624.959400
44, 617110642.826500
Frame Number, Receipt Time
50, 617110674.862200
53, 617110691.559300
57, 617110709.776600
58, 617110717.473700
63, 617110741.596000
67, 617110759.402500
70, 617110776.403500
73, 617110791.616000
77, 617110810.438800
80, 617110825.873000
83, 617110841.781400
87, 617110859.567000
90, 617110875.208500
94, 617110893.459500
97, 617110911.817800
100, 617110924.782900
104, 617110943.139700
107, 617110958.469800
110, 617110976.197300
114, 617110992.833900
117, 617111008.371200
120, 617111026.611200
125, 617111049.690100
127, 617111060.472500
130, 617111074.948400
132, 617111083.368100
137, 617111109.624900
140, 617111126.377400
142, 617111135.156800
147, 617111158.336000
150, 617111176.777100
152, 617111185.139700
157, 617111208.300000
160, 617111226.250700
164, 617111243.996300
167, 617111258.265900
170, 617111274.895500
172, 617111283.277400
174, 617111294.801300
180, 617111324.724400
182, 617111333.063500
185, 617111347.918400
188, 617111366.438400
191, 617111382.545000
197, 617111409.541200
200, 617111426.515300
203, 617111441.658700
207, 617111460.430600
210, 617111476.185800
212, 617111484.020900
217, 617111509.454700
220, 617111526.589000
222, 617111536.458400
227, 617111558.296000
230, 617111576.264500
232, 617111584.590700
237, 617111610.617700
240, 617111626.478800
242, 617111633.575800
247, 617111658.749300
250, 617111674.991900
252, 617111684.429800
257, 617111709.371600
260, 617111726.072400
263, 617111741.661300
267, 617111758.286800
268, 617111766.265700
274, 617111794.660100
277, 617111809.630000
280, 617111824.877300
284, 617111842.947900
287, 617111858.267100
290, 617111876.182900
293, 617111891.721300
297, 617111910.015900
301, 617111927.823200
303, 617111941.808100
307, 617111959.834100
310, 617111974.885400
314, 617111992.941600
315, 617112001.448700
320, 617112024.880600
324, 617112043.087200
325, 617112052.175000
328, 617112066.661400
334, 617112093.006700
335, 617112101.179600
338, 617112115.992300
342, 617112133.307900
345, 617112150.343300
348, 617112166.131300
351, 617112177.868600
354, 617112194.500500
357, 617112211.783400
360, 617112226.151000
365, 617112249.595300
370, 617112276.449700
374, 617112293.450600
375, 617112302.260000
380, 617112325.358400
384, 617112343.001600
385, 617112351.843700
390, 617112375.317000
394, 617112393.936300
395, 617112402.475600
400, 617112425.409000
404, 617112442.954600
405, 617112451.312400
408, 617112464.751300
413, 617112491.545500
417, 617112508.865300
419, 617112517.758700
421, 617112532.213900
427, 617112561.483000
429, 617112571.313400
433, 617112591.712100
437, 617112609.687700
440, 617112625.350000
444, 617112643.083400
447, 617112659.913500
448, 617112667.392500
453, 617112691.880700
457, 617112709.944500
460, 617112726.384300
462, 617112734.752100
467, 617112760.170000
470, 617112776.239900
472, 617112784.540400
477, 617112808.683500
480, 617112825.956500
483, 617112842.668500
487, 617112859.339900
490, 617112874.951100
494, 617112893.108400
497, 617112910.084500
500, 617112925.244000
504, 617112943.060300
507, 617112958.469600
510, 617112976.220700
513, 617112992.686100
517, 617113009.592700
520, 617113026.362800
524, 617113043.468600
527, 617113060.049400
528, 617113067.112200
533, 617113091.714400
537, 617113108.808300
539, 617113117.941700
543, 617113141.908300
547, 617113160.239200
549, 617113168.538400
553, 617113191.778900
557, 617113208.590100
558, 617113217.337500
564, 617113242.872000
567, 617113259.473500
569, 617113268.022000
571, 617113282.619700
575, 617113299.866200
0, 617113316.567200
4, 617113333.288300
7, 617113349.400500
10, 617113365.934100
14, 617113383.010700
16, 617113394.998000
19, 617113409.923500
24, 617113433.151000
29, 617113459.565400
32, 617113476.646900
35, 617113491.723400
37, 617113500.617000
42, 617113525.991300
46, 617113542.787900
47, 617113549.908300
52, 617113574.995400
55, 617113591.624600
57, 617113600.497100
62, 617113626.183100
66, 617113642.943100
67, 617113650.158200
70, 617113665.868200
74, 617113683.103800
79, 617113709.727600
82, 617113726.431300
84, 617113734.601800
87, 617113748.266700
89, 617113760.111500
95, 617113791.603000
99, 617113808.297400
102, 617113824.745300
106, 617113842.894900
109, 617113859.935800
113, 617113877.994100
115, 617113891.623800
119, 617113909.825700
122, 617113925.749200
125, 617113941.644900
129, 617113959.375400
132, 617113974.712100
136, 617113992.892400
Frame Number, Receipt Time
142, 617114026.010200
144, 617114034.684300
149, 617114059.679800
150, 617114067.668200
154, 617114083.096000
159, 617114109.589400
161, 617114118.977300
164, 617114132.960200
167, 617114149.350900
170, 617114166.478400
176, 617114192.834100
179, 617114209.697700
182, 617114225.270300
185, 617114242.666900
189, 617114259.726700
190, 617114266.693200
195, 617114291.759700
199, 617114308.241100
200, 617114317.459800
205, 617114341.645900
209, 617114359.810300
211, 617114368.644100
215, 617114391.672500
219, 617114409.913000
220, 617114417.700400
226, 617114442.882000
229, 617114459.846700
230, 617114466.862200
234, 617114483.103800
236, 617114496.081200
242, 617114525.154400
245, 617114541.542500
247, 617114549.710200
250, 617114565.126700
253, 617114582.624900
257, 617114599.906200
262, 617114625.917600
266, 617114642.816700
269, 617114658.972100
272, 617114674.822000
274, 617114682.997300
279, 617114709.729300
282, 617114726.849400
285, 617114742.700200
289, 617114758.287200
290, 617114766.755700
296, 617114793.157000
299, 617114809.887800
300, 617114816.736400
305, 617114841.925800
309, 617114861.986500
312, 617114874.835200
316, 617114893.154900
319, 617114908.017000
322, 617114926.048000
325, 617114941.516700
329, 617114959.690200
332, 617114975.116900
336, 617114993.195600
339, 617115008.552300
342, 617115027.230900
345, 617115041.613900
349, 617115059.804100
352, 617115076.195300
354, 617115084.157800
359, 617115108.649300
362, 617115126.917500
364, 617115135.206500
369, 617115158.527700
372, 617115176.653200
374, 617115184.910600
379, 617115208.217900
382, 617115226.095900
384, 617115234.325000
386, 617115244.483700
392, 617115274.729100
394, 617115283.144300
397, 617115297.953400
400, 617115316.038100
403, 617115332.376700
407, 617115349.379800
410, 617115367.090700
416, 617115392.879600
419, 617115409.533500
422, 617115425.673300
426, 617115442.758200
429, 617115459.812500
430, 617115466.749100
435, 617115491.624900
439, 617115508.603800
440, 617115516.814100
446, 617115543.001900
449, 617115559.769700
450, 617115566.891300
456, 617115593.170100
459, 617115609.646400
460, 617115616.488400
465, 617115641.673300
469, 617115658.668600
470, 617115667.428400
473, 617115681.570300
477, 617115699.796200
479, 617115710.767800
486, 617115742.797800
487, 617115750.882400
490, 617115765.271000
494, 617115783.060300
499, 617115809.350900
502, 617115826.136600
506, 617115843.341700
510, 617115862.997900
512, 617115875.183300
515, 617115892.670000
519, 617115908.637200
522, 617115925.784800
525, 617115941.703400
529, 617115959.614800
532, 617115975.506900
536, 617115993.220600
539, 617116008.410400
542, 617116026.355400
544, 617116034.462900
549, 617116058.287600
550, 617116066.391800
554, 617116082.799600
559, 617116108.816200
562, 617116125.062400
564, 617116133.360900
567, 617116149.363500
570, 617116165.884700
574, 617116183.141000
577, 617116199.619500
2, 617116216.755600
7, 617116241.767400
15, 617116277.870600
16, 617116285.780500
18, 617116295.786400
22, 617116316.041700
24, 617116325.915600
28, 617116342.833400
29, 617116350.928300
34, 617116376.180000
38, 617116393.422700
39, 617116402.507300
44, 617116425.020900
48, 617116442.996800
49, 617116451.380500
52, 617116465.175300
57, 617116491.678800
61, 617116509.693800
63, 617116519.174900
65, 617116531.267100
69, 617116549.483200
72, 617116566.061600
75, 617116582.506600
79, 617116599.128400
84, 617116626.010100
88, 617116643.005600
91, 617116659.704500
93, 617116668.043400
97, 617116691.777700
101, 617116709.683000
102, 617116716.858700
108, 617116742.871100
111, 617116759.890600
113, 617116767.960500
117, 617116791.676400
121, 617116808.171600
122, 617116816.370500
128, 617116843.052700
131, 617116859.644600
134, 617116876.416300
138, 617116892.790700
141, 617116910.510300
144, 617116924.614700
148, 617116943.013100
151, 617116958.553800
154, 617116976.823700
158, 617116994.594300
161, 617117008.216500
164, 617117026.063700
167, 617117041.448700
171, 617117059.828900
174, 617117076.079400
176, 617117083.889300
181, 617117109.201900
184, 617117125.869900
186, 617117134.256800
191, 617117158.361200
194, 617117176.002900
196, 617117184.553300
201, 617117208.322500
204, 617117226.438400
206, 617117237.103100
209, 617117247.947300
214, 617117274.732300
217, 617117291.749800
219, 617117301.636400
222, 617117314.780100
226, 617117332.705400
Frame Number, Receipt Time
231, 617117360.591700
237, 617117391.505400
241, 617117408.388400
244, 617117424.773600
248, 617117442.753900
251, 617117458.477900
254, 617117476.678600
256, 617117486.337100
261, 617117508.209200
264, 617117526.122800
266, 617117534.083500
271, 617117558.222300
274, 617117576.569100
276, 617117585.125900
281, 617117608.065000
284, 617117626.428200
286, 617117634.722300
291, 617117659.846200
293, 617117668.056800
296, 617117683.259600
299, 617117699.489700
304, 617117724.972800
308, 617117745.007500
310, 617117753.267500
314, 617117776.444700
318, 617117793.002500
321, 617117809.735200
324, 617117826.489300
327, 617117842.638600
331, 617117858.733000
334, 617117876.004300
338, 617117892.751000
341, 617117909.799700
344, 617117924.843600
348, 617117942.945100
351, 617117958.300700
354, 617117976.320200
358, 617117993.623500
361, 617118008.391300
364, 617118024.874000
366, 617118033.124900
371, 617118058.200900
374, 617118074.972700
376, 617118083.098700
379, 617118099.857200
381, 617118112.293400
387, 617118141.512300
391, 617118158.167300
394, 617118177.083400
396, 617118185.177800
401, 617118209.729900
404, 617118226.278800
407, 617118242.432800
409, 617118250.832500
414, 617118276.625100
418, 617118293.201800
419, 617118301.613200
424, 617118324.967500
428, 617118342.952400
429, 617118351.952200
434, 617118376.674700
438, 617118392.992500
439, 617118400.095600
444, 617118426.109400
448, 617118442.689900
449, 617118449.970000
452, 617118466.131000
455, 617118479.165900
461, 617118508.423700
462, 617118516.950000
465, 617118531.622200
469, 617118550.105000
472, 617118566.461400
476, 617118582.880300
481, 617118609.759800
484, 617118626.289000
487, 617118642.654300
491, 617118659.827900
494, 617118676.497600
496, 617118684.636500
501, 617118708.542100
504, 617118726.175100
507, 617118741.621000
511, 617118759.780000
513, 617118768.267700
518, 617118793.121700
521, 617118809.440400
522, 617118816.300300
527, 617118841.746000
531, 617118860.855600
534, 617118876.234400
538, 617118892.712600
541, 617118908.310300
544, 617118924.794900
547, 617118941.672100
551, 617118959.857200
554, 617118976.319400
557, 617118991.635400
561, 617119009.870300
564, 617119025.186900
567, 617119042.628900
571, 617119059.792200
574, 617119074.986900
576, 617119084.131500
3, 617119110.107400
6, 617119126.224700
8, 617119133.427700
13, 617119158.242300
16, 617119175.309200
18, 617119183.931000
23, 617119209.598700
26, 617119226.027700
28, 617119233.138800
33, 617119259.680400
36, 617119276.300800
38, 617119284.503200
41, 617119298.065600
44, 617119315.126800
46, 617119327.510200
53, 617119358.197900
56, 617119374.952700
59, 617119391.618800
63, 617119408.521200
66, 617119425.112300
70, 617119444.138100
73, 617119459.809800
75, 617119468.215600
79, 617119491.601600
83, 617119509.999400
85, 617119517.880500
89, 617119541.597000
93, 617119559.506800
95, 617119568.469200
99, 617119591.590800
103, 617119609.755700
105, 617119617.702800
109, 617119641.751200
113, 617119659.808800
115, 617119669.551400
117, 617119682.047700
123, 617119708.298400
126, 617119724.812900
128, 617119733.104400
133, 617119758.220700
136, 617119774.958800
139, 617119791.601000
141, 617119801.408800
144, 617119816.067900
148, 617119833.122800
150, 617119843.053000
153, 617119859.119400
156, 617119876.293600
163, 617119920.984600
166, 617119927.537600
169, 617119942.226300
173, 617119959.448600
176, 617119975.091200
180, 617119992.918100
183, 617120009.272200
186, 617120024.518100
189, 617120041.575300
191, 617120051.084100
194, 617120065.828700
200, 617120092.995400
201, 617120101.309800
204, 617120114.636300
208, 617120132.845200
211, 617120149.388800
214, 617120166.305800
217, 617120178.154200
220, 617120194.168700
223, 617120210.856400
226, 617120226.212900
231, 617120249.788600
236, 617120276.273900
240, 617120293.122000
242, 617120303.040400
246, 617120324.845900
249, 617120341.552900
251, 617120349.690900
256, 617120376.533600
260, 617120393.075100
261, 617120400.363900
266, 617120424.825400
269, 617120441.586300
271, 617120449.959700
274, 617120465.318500
279, 617120492.611700
283, 617120509.625100
285, 617120517.753100
287, 617120531.782400
291, 617120549.436800
293, 617120562.434700
296, 617120577.516100
303, 617120608.445900
306, 617120624.942000
310, 617120643.007100
313, 617120658.271100
316, 617120676.030400
318, 617120685.997600
Frame Number, Receipt Time
326, 617120726.094600
328, 617120734.721800
333, 617120758.557800
336, 617120776.389000
338, 617120784.657000
343, 617120808.467900
346, 617120826.014100
348, 617120834.682300
353, 617120857.935400
356, 617120876.486900
360, 617120893.106900
366, 617120931.308600
369, 617120942.638200
373, 617120958.559300
376, 617120975.870500
379, 617120991.565400
383, 617121009.911900
386, 617121025.984300
389, 617121041.510300
393, 617121060.023900
396, 617121076.265100
398, 617121084.203300
403, 617121108.552500
406, 617121126.399500
408, 617121134.733900
413, 617121158.642500
416, 617121175.970100
418, 617121185.973300
421, 617121198.013500
426, 617121225.992500
430, 617121243.075100
431, 617121251.471900
434, 617121267.137800
438, 617121282.697700
441, 617121299.564100
443, 617121311.716800
449, 617121341.546300
453, 617121358.569500
456, 617121376.246300
458, 617121384.494400
463, 617121409.598500
468, 617121434.292500
