Frame Number, Receipt Time
131, 616983928.224300
135, 616983944.208700
139, 616983962.485800
141, 616983971.237500
146, 616983994.554500
149, 616984010.993500
152, 616984027.494100
156, 616984044.109400
159, 616984060.729900
162, 616984077.687900
166, 616984093.967900
169, 616984110.944300
172, 616984127.254800
176, 616984143.952300
179, 616984160.710200
182, 616984177.307600
186, 616984194.296300
189, 616984210.590200
192, 616984227.475700
196, 616984244.420900
199, 616984259.599100
200, 616984267.862300
206, 616984294.390200
209, 616984311.367900
211, 616984320.623800
215, 616984342.910800
219, 616984360.845900
221, 616984368.557100
226, 616984394.545300
229, 616984410.749400
230, 616984417.741300
235, 616984443.221300
239, 616984461.053100
241, 616984469.271400
243, 616984482.850600
247, 616984501.367500
250, 616984517.242200
254, 616984534.580900
257, 616984551.718700
262, 616984577.871000
265, 616984592.705200
269, 616984610.720800
272, 616984625.896200
276, 616984644.261500
279, 616984659.596100
282, 616984677.435600
284, 616984685.777100
289, 616984709.813800
292, 616984727.996900
294, 616984736.469900
299, 616984759.604100
302, 616984777.480200
304, 616984785.651900
309, 616984809.707500
312, 616984826.302400
314, 616984834.581200
316, 616984846.283800
322, 616984876.178100
324, 616984884.547000
329, 616984911.155100
332, 616984927.423400
335, 616984943.206100
339, 616984959.665900
340, 616984965.436500
346, 616984994.522300
349, 616985010.956100
352, 616985027.501600
356, 616985044.339500
359, 616985060.989300
362, 616985077.369100
366, 616985096.116400
369, 616985109.431200
372, 616985127.317900
375, 616985142.984800
379, 616985160.938800
382, 616985177.425700
386, 616985194.443400
388, 616985203.659000
392, 616985226.246900
394, 616985234.990100
397, 616985249.967100
402, 616985277.578700
406, 616985294.495500
407, 616985302.596900
410, 616985316.450600
414, 616985334.392700
416, 616985346.164600
422, 616985376.031400
425, 616985392.898500
429, 616985409.569100
432, 616985426.147500
436, 616985444.288100
439, 616985461.237100
441, 616985470.470300
445, 616985493.053200
449, 616985510.970200
451, 616985519.218200
455, 616985542.760900
459, 616985561.128600
461, 616985569.100500
466, 616985593.658700
469, 616985610.936600
471, 616985618.799800
476, 616985644.483100
477, 616985652.735300
480, 616985667.209700
486, 616985694.555100
487, 616985702.955000
490, 616985716.382600
494, 616985734.381400
497, 616985751.080800
500, 616985767.387100
506, 616985796.219800
509, 616985810.643100
512, 616985826.199900
516, 616985844.571200
519, 616985861.337600
521, 616985869.526200
525, 616985893.119300
529, 616985909.642900
532, 616985926.192900
534, 616985936.533400
539, 616985959.822900
542, 616985977.819700
544, 616985986.704700
549, 616986011.008000
552, 616986027.610900
556, 616986043.927800
559, 616986061.168200
562, 616986077.428700
566, 616986094.277700
569, 616986112.166700
572, 616986125.950700
576, 616986144.342600
1, 616986159.991200
4, 616986177.601600
7, 616986193.084200
11, 616986211.041300
