Frame Number, Receipt Time
354, 157069587.392200
359, 157069613.964800
366, 157069659.346500
369, 157069670.609100
372, 157069699.478300
377, 157069710.226200
383, 157069730.752100
386, 157069752.297200
387, 157069755.849800
390, 157069771.942100
393, 157069782.399000
399, 157069813.560600
401, 157069821.178000
404, 157069835.815500
407, 157069853.768200
412, 157069880.425600
416, 157069897.273400
419, 157069913.713900
423, 157069931.239500
424, 157069939.796500
429, 157069964.223400
433, 157069981.881800
434, 157069988.810400
439, 157070016.201100
442, 157070031.187100
444, 157070037.143700
449, 157070063.196500
452, 157070079.322000
454, 157070089.329200
459, 157070112.834200
463, 157070131.641400
466, 157070145.882000
469, 157070165.325500
471, 157070172.017400
474, 157070187.309000
479, 157070213.709400
483, 157070230.719600
486, 157070247.536000
489, 157070264.246900
492, 157070280.358300
496, 157070297.751500
499, 157070313.352000
503, 157070330.541600
506, 157070347.354800
509, 157070364.381100
512, 157070379.412600
516, 157070398.049000
519, 157070412.488300
523, 157070430.859800
524, 157070439.042300
529, 157070464.458900
533, 157070480.976400
534, 157070488.689900
539, 157070512.551900
543, 157070531.224100
544, 157070538.937800
547, 157070551.916400
553, 157070580.559200
556, 157070597.121300
557, 157070605.316700
560, 157070619.942500
564, 157070636.675900
567, 157070653.814000
573, 157070680.633500
576, 157070697.309600
1, 157070713.717000
4, 157070730.361300
8, 157070747.231300
9, 157070753.573900
14, 157070779.262000
18, 157070797.847600
20, 157070806.982400
24, 157070829.169900
28, 157070846.453200
29, 157070854.276200
35, 157070880.707500
38, 157070897.406800
39, 157070904.145300
45, 157070930.686200
48, 157070947.289600
49, 157070955.250000
52, 157070968.625800
58, 157070998.740600
61, 157071013.868900
64, 157071029.493600
69, 157071054.325500
72, 157071067.726400
73, 157071074.854000
78, 157071096.309200
82, 157071120.123300
85, 157071130.432200
88, 157071147.387400
91, 157071163.964500
93, 157071173.276700
98, 157071196.024600
101, 157071214.396700
103, 157071222.262100
108, 157071246.175500
111, 157071263.782500
114, 157071279.484000
118, 157071298.637400
121, 157071312.506300
125, 157071330.997600
128, 157071350.144500
131, 157071362.449400
134, 157071380.117300
138, 157071396.142200
141, 157071412.563500
144, 157071430.238700
148, 157071446.197400
151, 157071462.491700
155, 157071480.683100
158, 157071498.009300
161, 157071512.845300
165, 157071530.672200
168, 157071547.913400
169, 157071557.396900
175, 157071581.731800
178, 157071597.814300
180, 157071606.886600
184, 157071631.028700
188, 157071648.483200
189, 157071655.276300
194, 157071679.325900
198, 157071697.340800
199, 157071704.765700
205, 157071732.777400
208, 157071747.534000
209, 157071754.331800
212, 157071770.645400
218, 157071798.686700
220, 157071805.700700
222, 157071819.051700
226, 157071836.604000
229, 157071853.172400
232, 157071870.906400
238, 157071896.884300
241, 157071913.757300
245, 157071930.554000
246, 157071938.138400
251, 157071963.973700
255, 157071980.765500
256, 157071987.444800
261, 157072013.981100
265, 157072030.704400
266, 157072039.062500
271, 157072062.626300
274, 157072079.937900
276, 157072089.161900
281, 157072113.201800
285, 157072130.793200
286, 157072137.380700
291, 157072164.467600
295, 157072180.710900
296, 157072188.284600
299, 157072201.751700
304, 157072230.731900
308, 157072247.176300
311, 157072264.748200
315, 157072280.675400
318, 157072297.233500
321, 157072313.597800
324, 157072329.333800
328, 157072346.726000
331, 157072362.430300
334, 157072380.050600
338, 157072397.348700
341, 157072413.858400
345, 157072430.678100
348, 157072447.864100
349, 157072455.233500
355, 157072480.986800
358, 157072497.098200
359, 157072503.455900
364, 157072530.439900
368, 157072547.906600
370, 157072557.146400
372, 157072568.911600
376, 157072587.330200
379, 157072605.827000
382, 157072619.841900
386, 157072636.507400
389, 157072653.348000
395, 157072680.747100
398, 157072697.300500
401, 157072713.628600
404, 157072729.109700
408, 157072748.268600
411, 157072763.861700
413, 157072771.386400
418, 157072796.281800
421, 157072813.571500
422, 157072820.066100
428, 157072847.407700
431, 157072863.721600
433, 157072870.528700
438, 157072896.379800
441, 157072916.173100
443, 157072920.993500
448, 157072946.295400
Frame Number, Receipt Time
453, 157072970.644600
455, 157072985.244800
459, 157073003.543600
462, 157073019.799500
466, 157073036.526600
469, 157073053.690800
475, 157073080.465900
478, 157073097.207400
481, 157073113.542900
484, 157073129.218000
488, 157073145.831800
491, 157073163.664900
495, 157073180.439800
498, 157073197.754300
501, 157073213.891900
503, 157073220.777500
508, 157073246.114700
511, 157073263.787800
515, 157073280.669800
518, 157073296.819800
521, 157073313.766300
524, 157073330.342000
528, 157073347.192100
531, 157073363.298800
535, 157073380.792900
538, 157073397.206700
541, 157073412.339300
545, 157073430.693500
548, 157073447.555000
551, 157073462.375200
555, 157073480.723300
559, 157073503.621600
562, 157073519.463200
566, 157073536.880600
568, 157073547.039800
571, 157073563.717400
573, 157073571.509400
0, 157073596.218700
3, 157073613.706600
5, 157073621.219900
10, 157073646.279700
13, 157073664.271600
15, 157073672.093600
20, 157073695.847500
23, 157073713.849700
25, 157073721.351300
30, 157073746.237100
31, 157073755.091100
34, 157073768.363300
40, 157073795.733900
43, 157073812.463700
45, 157073820.393200
47, 157073835.295300
51, 157073853.628400
57, 157073880.420700
60, 157073897.151500
63, 157073913.580700
67, 157073930.734000
70, 157073947.084400
71, 157073954.611600
77, 157073980.595900
80, 157073998.083600
82, 157074005.923700
86, 157074029.175800
90, 157074047.501100
91, 157074055.149600
96, 157074079.232700
100, 157074095.665300
101, 157074103.749100
107, 157074130.800900
110, 157074147.123500
113, 157074162.695500
116, 157074179.305800
118, 157074188.145100
121, 157074203.759900
127, 157074230.899200
130, 157074247.078600
133, 157074262.983800
136, 157074280.123400
140, 157074297.424300
143, 157074313.810800
146, 157074329.155500
150, 157074347.296300
153, 157074363.556300
157, 157074380.639400
160, 157074396.098500
163, 157074413.711700
167, 157074430.517700
170, 157074446.159500
171, 157074453.886200
176, 157074479.455600
180, 157074496.313300
181, 157074505.059200
186, 157074529.570500
190, 157074547.396700
191, 157074554.873200
194, 157074568.501700
200, 157074597.537800
203, 157074613.598900
204, 157074620.161700
209, 157074642.900700
211, 157074653.614300
213, 157074663.846400
220, 157074695.798300
224, 157074720.134300
226, 157074730.396100
