Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
1638984, 619249836.261500, 0.003403, 0.000411, 0.001187, 0.000114, 0.000063
1638985, 619249840.808700, 0.003220, 0.000161, 0.001267, 0.000117, 0.000065
1638986, 619249845.777700, 0.003229, 0.000172, 0.001214, 0.000120, 0.000065
1638987, 619249851.141500, 0.003351, 0.000416, 0.001211, 0.000115, 0.000067
1638989, 619249863.306300, 0.003402, 0.000329, 0.001337, 0.000115, 0.000067
1638990, 619249866.808200, 0.003357, 0.000366, 0.001266, 0.000094, 0.000067
1638991, 619249871.347500, 0.003236, 0.000184, 0.001399, 0.000115, 0.000068
1638992, 619249876.109400, 0.003376, 0.000277, 0.001288, 0.000107, 0.000072
1638993, 619249881.118500, 0.003357, 0.000377, 0.001247, 0.000101, 0.000072
1638994, 619249889.731500, 0.003269, 0.000171, 0.001133, 0.000104, 0.000071
1638995, 619249893.518100, 0.003350, 0.000391, 0.001307, 0.000113, 0.000071
1638996, 619249896.404300, 0.003409, 0.000409, 0.001167, 0.000105, 0.000071
1638997, 619249901.309100, 0.003429, 0.000414, 0.001334, 0.000114, 0.000072
1638998, 619249907.006500, 0.003245, 0.000198, 0.001272, 0.000121, 0.000069
1638999, 619249911.369800, 0.003350, 0.000392, 0.001437, 0.000113, 0.000069
1639000, 619249916.245200, 0.003358, 0.000404, 0.001291, 0.000150, 0.000068
1639001, 619249922.964400, 0.003325, 0.000403, 0.001301, 0.000108, 0.000068
1639002, 619249926.680900, 0.003220, 0.000156, 0.001130, 0.000104, 0.000072
1639003, 619249930.822800, 0.003225, 0.000144, 0.001308, 0.000107, 0.000072
1639004, 619249935.956600, 0.003239, 0.000191, 0.001337, 0.000126, 0.000073
1639005, 619249940.983200, 0.003239, 0.000181, 0.001393, 0.000121, 0.000073
1639006, 619249946.265000, 0.003358, 0.000390, 0.001374, 0.000111, 0.000072
1639007, 619249950.773100, 0.003282, 0.000163, 0.001179, 0.000108, 0.000072
1639008, 619249955.854300, 0.003193, 0.000151, 0.001338, 0.000101, 0.000070
1639009, 619249960.677000, 0.003276, 0.000160, 0.001101, 0.000107, 0.000070
1639010, 619249965.751900, 0.003191, 0.000159, 0.001216, 0.000110, 0.000068
1639011, 619249971.367700, 0.003443, 0.000457, 0.001333, 0.000101, 0.000068
1639012, 619249976.155700, 0.003414, 0.000418, 0.001200, 0.000102, 0.000066
1639013, 619249980.663700, 0.003237, 0.000163, 0.001144, 0.000098, 0.000066
1639014, 619249986.120400, 0.003425, 0.000291, 0.001277, 0.000104, 0.000066
1639015, 619249991.352900, 0.003369, 0.000429, 0.001418, 0.000107, 0.000066
1639016, 619249995.712600, 0.003231, 0.000164, 0.001179, 0.000114, 0.000068
1639017, 619250001.085300, 0.003403, 0.000417, 0.001127, 0.000105, 0.000068
1639018, 619250005.705100, 0.003242, 0.000158, 0.001179, 0.000108, 0.000067
1639019, 619250010.884400, 0.003184, 0.000166, 0.001338, 0.000119, 0.000067
1639020, 619250016.262600, 0.003408, 0.000387, 0.001333, 0.000108, 0.000068
1639021, 619250021.102300, 0.003403, 0.000377, 0.001191, 0.000107, 0.000068
1639022, 619250025.962500, 0.003476, 0.000213, 0.001138, 0.000109, 0.000064
1639023, 619250031.202500, 0.003364, 0.000385, 0.001310, 0.000107, 0.000064
1639024, 619250036.136700, 0.003407, 0.000380, 0.001230, 0.000101, 0.000066
1639025, 619250040.911400, 0.003234, 0.000156, 0.001315, 0.000170, 0.000066
1639026, 619250046.188700, 0.003338, 0.000398, 0.001301, 0.000114, 0.000069
1639027, 619250050.967700, 0.003247, 0.000174, 0.001397, 0.000118, 0.000069
1639028, 619250055.812100, 0.003235, 0.000191, 0.001226, 0.000121, 0.000070
1639029, 619250060.790800, 0.003263, 0.000182, 0.001187, 0.000114, 0.000070
1639030, 619250066.131600, 0.003418, 0.000386, 0.001158, 0.000142, 0.000071
1639031, 619250071.204800, 0.003410, 0.000417, 0.001219, 0.000124, 0.000071
1639032, 619250075.884700, 0.003246, 0.000194, 0.001293, 0.000115, 0.000069
1639033, 619250081.099400, 0.003357, 0.000389, 0.001196, 0.000114, 0.000069
1639034, 619250085.689900, 0.003236, 0.000153, 0.001176, 0.000105, 0.000069
1639035, 619250090.867100, 0.003295, 0.000165, 0.001252, 0.000114, 0.000069
1639036, 619250096.068500, 0.003368, 0.000392, 0.001179, 0.000102, 0.000067
1639037, 619250100.974300, 0.003355, 0.000361, 0.001085, 0.000106, 0.000067
1639038, 619250107.870800, 0.003185, 0.000161, 0.001377, 0.000117, 0.000067
1639039, 619250112.114600, 0.003403, 0.000386, 0.001329, 0.000097, 0.000067
1639040, 619250115.803500, 0.003245, 0.000162, 0.001275, 0.000106, 0.000065
1639041, 619250121.100400, 0.003231, 0.000172, 0.001542, 0.000110, 0.000065
1639042, 619250125.755000, 0.003232, 0.000163, 0.001196, 0.000119, 0.000065
1639043, 619250130.768800, 0.003263, 0.000162, 0.001206, 0.000111, 0.000065
1639044, 619250135.790600, 0.003239, 0.000166, 0.001232, 0.000113, 0.000065
1639045, 619250140.833000, 0.003268, 0.000187, 0.001240, 0.000108, 0.000063
1639046, 619250146.406400, 0.003410, 0.000432, 0.001423, 0.000114, 0.000063
1639047, 619250150.964000, 0.003229, 0.000218, 0.001371, 0.000112, 0.000060
1639048, 619250156.334700, 0.003369, 0.000413, 0.001379, 0.000117, 0.000060
1639049, 619250160.680900, 0.003234, 0.000159, 0.001148, 0.000114, 0.000060
1639050, 619250166.248700, 0.003385, 0.000412, 0.001295, 0.000122, 0.000060
1639051, 619250170.899900, 0.003238, 0.000187, 0.001317, 0.000122, 0.000061
1639052, 619250176.191400, 0.003415, 0.000396, 0.001237, 0.000113, 0.000061
1639053, 619250181.173500, 0.003375, 0.000380, 0.001272, 0.000134, 0.000062
1639054, 619250185.811400, 0.003293, 0.000169, 0.001210, 0.000101, 0.000062
1639055, 619250191.106000, 0.003414, 0.000319, 0.001245, 0.000104, 0.000063
1639056, 619250195.699600, 0.003272, 0.000166, 0.001149, 0.000099, 0.000063
1639057, 619250201.011300, 0.003231, 0.000202, 0.001407, 0.000115, 0.000064
1639058, 619250206.124900, 0.003289, 0.000173, 0.001498, 0.000121, 0.000064
1639059, 619250211.205800, 0.003402, 0.000410, 0.001253, 0.000110, 0.000064
1639060, 619250215.772900, 0.003235, 0.000155, 0.001241, 0.000118, 0.000064
1639061, 619250221.264700, 0.003311, 0.000498, 0.001260, 0.000109, 0.000064
1639062, 619250226.013600, 0.003407, 0.000372, 0.001126, 0.000096, 0.000064
1639063, 619250230.781400, 0.003236, 0.000168, 0.001245, 0.000114, 0.000063
1639064, 619250236.148700, 0.003342, 0.000387, 0.001241, 0.000106, 0.000063
1639065, 619250241.083600, 0.003410, 0.000405, 0.001132, 0.000108, 0.000068
1639066, 619250245.709500, 0.003192, 0.000169, 0.001157, 0.000117, 0.000068
1639067, 619250251.142800, 0.003351, 0.000342, 0.001272, 0.000104, 0.000068
1639068, 619250256.247000, 0.003399, 0.000377, 0.001344, 0.000106, 0.000068
1639069, 619250260.983500, 0.003237, 0.000170, 0.001446, 0.000112, 0.000068
1639070, 619250266.466900, 0.003365, 0.000420, 0.001531, 0.000109, 0.000068
1639071, 619250270.924800, 0.003325, 0.000300, 0.001134, 0.000114, 0.000067
1639072, 619250275.833700, 0.003242, 0.000183, 0.001256, 0.000127, 0.000067
1639073, 619250280.898900, 0.003232, 0.000175, 0.001335, 0.000116, 0.000066
1639074, 619250285.902300, 0.003395, 0.000253, 0.001123, 0.000104, 0.000066
1639075, 619250290.666400, 0.003236, 0.000162, 0.001138, 0.000115, 0.000071
1639076, 619250296.233000, 0.003486, 0.000353, 0.001246, 0.000115, 0.000071
1639077, 619250301.162500, 0.003420, 0.000419, 0.001195, 0.000104, 0.000070
1639078, 619250305.699100, 0.003243, 0.000153, 0.001196, 0.000099, 0.000070
1639079, 619250310.975900, 0.003246, 0.000195, 0.001358, 0.000117, 0.000069
1639080, 619250316.317600, 0.003424, 0.000411, 0.001354, 0.000102, 0.000069
1639081, 619250320.878500, 0.003261, 0.000195, 0.001293, 0.000114, 0.000070
1639082, 619250325.925900, 0.003233, 0.000200, 0.001308, 0.000110, 0.000070
1639083, 619250331.223900, 0.003360, 0.000395, 0.001325, 0.000106, 0.000070
1639084, 619250336.171600, 0.003404, 0.000415, 0.001254, 0.000095, 0.000070
1639085, 619250341.033200, 0.003494, 0.000165, 0.001243, 0.000113, 0.000067
1639086, 619250345.920700, 0.003354, 0.000277, 0.001120, 0.000102, 0.000067
1639087, 619250351.102400, 0.003427, 0.000380, 0.001188, 0.000102, 0.000067
1639088, 619250355.889000, 0.003243, 0.000160, 0.001356, 0.000114, 0.000067
1639089, 619250361.178300, 0.003361, 0.000392, 0.001280, 0.000109, 0.000067
1639090, 619250366.012400, 0.003368, 0.000383, 0.001155, 0.000099, 0.000067
1639091, 619250370.889900, 0.003195, 0.000150, 0.001364, 0.000112, 0.000067
1639092, 619250375.864200, 0.003229, 0.000181, 0.001310, 0.000112, 0.000067
1639093, 619250381.208800, 0.003314, 0.000375, 0.001376, 0.000117, 0.000067
1639094, 619250386.041800, 0.003408, 0.000261, 0.001231, 0.000108, 0.000067
1639095, 619250390.927800, 0.003231, 0.000198, 0.001332, 0.000126, 0.000066
1639096, 619250396.224500, 0.003421, 0.000396, 0.001273, 0.000109, 0.000066
1639097, 619250401.178900, 0.003396, 0.000445, 0.001224, 0.000101, 0.000066
1639098, 619250405.776700, 0.003230, 0.000188, 0.001212, 0.000122, 0.000066
1639099, 619250411.008000, 0.003364, 0.000276, 0.001177, 0.000109, 0.000066
1639100, 619250416.085600, 0.003422, 0.000419, 0.001135, 0.000102, 0.000066
1639101, 619250421.016100, 0.003276, 0.000162, 0.001428, 0.000126, 0.000065
1639102, 619250425.730100, 0.003238, 0.000175, 0.001202, 0.000099, 0.000065
1639103, 619250431.235900, 0.003377, 0.000378, 0.001322, 0.000132, 0.000067
1639104, 619250435.650700, 0.003239, 0.000161, 0.001128, 0.000108, 0.000067
1639105, 619250440.727500, 0.003236, 0.000241, 0.001119, 0.000110, 0.000066
1639106, 619250446.010900, 0.003366, 0.000276, 0.001201, 0.000100, 0.000066
1639107, 619250450.646200, 0.003245, 0.000156, 0.001133, 0.000105, 0.000066
1639108, 619250455.931900, 0.003372, 0.000287, 0.001150, 0.000107, 0.000066
1639110, 619250465.598600, 0.003240, 0.000141, 0.001111, 0.000102, 0.000069
1639111, 619250470.885200, 0.003233, 0.000161, 0.001374, 0.000097, 0.000069
1639112, 619250476.158100, 0.003331, 0.000358, 0.001284, 0.000111, 0.000069
1639113, 619250480.722100, 0.003244, 0.000169, 0.001180, 0.000113, 0.000071
1639114, 619250485.846200, 0.003250, 0.000198, 0.001242, 0.000118, 0.000071
1639115, 619250490.804500, 0.003234, 0.000168, 0.001246, 0.000120, 0.000073
1639116, 619250495.748100, 0.003241, 0.000163, 0.001209, 0.000110, 0.000073
1639117, 619250501.130000, 0.003379, 0.000412, 0.001205, 0.000113, 0.000077
1639118, 619250505.722500, 0.003230, 0.000153, 0.001209, 0.000110, 0.000077
1639119, 619250510.703300, 0.003235, 0.000176, 0.001164, 0.000106, 0.000076
1639120, 619250516.190800, 0.003353, 0.000401, 0.001301, 0.000113, 0.000076
1639121, 619250521.285100, 0.003355, 0.000497, 0.001301, 0.000113, 0.000079
1639122, 619250525.705400, 0.003234, 0.000179, 0.001163, 0.000114, 0.000079
1639123, 619250531.085900, 0.003396, 0.000396, 0.001168, 0.000103, 0.000076
1639124, 619250536.017900, 0.003420, 0.000326, 0.001160, 0.000101, 0.000076
1639125, 619250540.992900, 0.003434, 0.000333, 0.001108, 0.000106, 0.000078
1639126, 619250546.226200, 0.003383, 0.000379, 0.001345, 0.000105, 0.000078
1639127, 619250551.126200, 0.003347, 0.000387, 0.001249, 0.000113, 0.000079
1639128, 619250555.731500, 0.003242, 0.000149, 0.001234, 0.000102, 0.000079
1639129, 619250561.228800, 0.003390, 0.000393, 0.001325, 0.000106, 0.000075
1639130, 619250565.748700, 0.003255, 0.000171, 0.001195, 0.000122, 0.000075
1639131, 619250571.287400, 0.003395, 0.000406, 0.001347, 0.000110, 0.000075
1639132, 619250575.694000, 0.003255, 0.000162, 0.001140, 0.000106, 0.000075
1639133, 619250581.147800, 0.003365, 0.000403, 0.001253, 0.000105, 0.000072
1639134, 619250585.993200, 0.003369, 0.000372, 0.001133, 0.000105, 0.000072
1639135, 619250590.928300, 0.003290, 0.000246, 0.001233, 0.000115, 0.000072
1639136, 619250596.104500, 0.003351, 0.000378, 0.001244, 0.000107, 0.000072
1639137, 619250601.074800, 0.003355, 0.000412, 0.001184, 0.000107, 0.000068
1639138, 619250605.936100, 0.003243, 0.000175, 0.001395, 0.000110, 0.000068
1639139, 619250611.270600, 0.003384, 0.000384, 0.001396, 0.000095, 0.000069
1639140, 619250616.076100, 0.003383, 0.000378, 0.001212, 0.000098, 0.000069
1639141, 619250620.945400, 0.003243, 0.000162, 0.001410, 0.000114, 0.000067
1639142, 619250626.071600, 0.003359, 0.000400, 0.001188, 0.000103, 0.000067
1639143, 619250631.108000, 0.003380, 0.000380, 0.001228, 0.000106, 0.000068
1639144, 619250635.685600, 0.003240, 0.000162, 0.001168, 0.000108, 0.000068
1639145, 619250641.216700, 0.003408, 0.000371, 0.001301, 0.000111, 0.000067
1639146, 619250645.590000, 0.003252, 0.000149, 0.001077, 0.000107, 0.000067
1639147, 619250651.216400, 0.003273, 0.000405, 0.001325, 0.000104, 0.000066
1639148, 619250656.095300, 0.003378, 0.000331, 0.001257, 0.000106, 0.000066
1639149, 619250660.978800, 0.003273, 0.000176, 0.001379, 0.000127, 0.000066
1639150, 619250666.536700, 0.003406, 0.000421, 0.001562, 0.000123, 0.000066
1639151, 619250671.592300, 0.003809, 0.000319, 0.001282, 0.000160, 0.000067
1639152, 619250676.040200, 0.003397, 0.000378, 0.001155, 0.000095, 0.000067
1639153, 619250681.237100, 0.003380, 0.000368, 0.001368, 0.000108, 0.000067
1639154, 619250686.177100, 0.003374, 0.000393, 0.001299, 0.000103, 0.000067
1639155, 619250691.031700, 0.003372, 0.000374, 0.001172, 0.000103, 0.000062
1639156, 619250696.275400, 0.003257, 0.000151, 0.001658, 0.000165, 0.000062
1639157, 619250700.842400, 0.003272, 0.000194, 0.001214, 0.000116, 0.000063
1639158, 619250706.225300, 0.003382, 0.000388, 0.001306, 0.000108, 0.000063
1639159, 619250711.213300, 0.003354, 0.000374, 0.001336, 0.000116, 0.000063
1639160, 619250715.698500, 0.003238, 0.000162, 0.001181, 0.000108, 0.000063
1639161, 619250721.009000, 0.003185, 0.000166, 0.001456, 0.000122, 0.000063
1639162, 619250725.929800, 0.003226, 0.000164, 0.001383, 0.000119, 0.000063
1639163, 619250731.004100, 0.003247, 0.000208, 0.001398, 0.000120, 0.000064
1639164, 619250735.814000, 0.003236, 0.000187, 0.001173, 0.000113, 0.000064
1639165, 619250741.130500, 0.003372, 0.000395, 0.001218, 0.000117, 0.000071
1639166, 619250745.738400, 0.003242, 0.000176, 0.001187, 0.000116, 0.000071
1639167, 619250751.202200, 0.003404, 0.000358, 0.001309, 0.000114, 0.000071
1639168, 619250755.720400, 0.003234, 0.000167, 0.001195, 0.000111, 0.000071
1639169, 619250761.266200, 0.003259, 0.000205, 0.001646, 0.000120, 0.000071
1639170, 619250765.775800, 0.003281, 0.000186, 0.001174, 0.000112, 0.000071
1639171, 619250771.048200, 0.003416, 0.000320, 0.001173, 0.000114, 0.000071
