Frame Number, Receipt Time
368, 616479349.754800
431, 616479657.695100
435, 616479673.571400
436, 616479680.456100
441, 616479706.036100
444, 616479722.276100
446, 616479730.375400
451, 616479756.761500
454, 616479773.532700
456, 616479781.464800
461, 616479805.973100
465, 616479823.626600
466, 616479831.687600
469, 616479845.271400
473, 616479864.089600
476, 616479879.944000
479, 616479896.656100
483, 616479913.835100
486, 616479930.112600
491, 616479956.979200
495, 616479973.576400
498, 616479990.742500
501, 616480005.687200
505, 616480024.410900
508, 616480040.370500
509, 616480048.378700
515, 616480073.601400
518, 616480090.337600
520, 616480099.976100
524, 616480122.525700
528, 616480138.965400
529, 616480148.297300
534, 616480172.369800
538, 616480190.096700
541, 616480206.950500
545, 616480223.939800
548, 616480238.891500
551, 616480258.494800
555, 616480273.723600
558, 616480290.491600
561, 616480305.900900
565, 616480323.645000
568, 616480340.102700
571, 616480357.111800
574, 616480373.331800
0, 616480390.898600
3, 616480407.152700
6, 616480422.758300
8, 616480431.028900
13, 616480456.849700
17, 616480473.741300
18, 616480481.665100
23, 616480507.841500
27, 616480523.620900
28, 616480530.667500
33, 616480556.121100
36, 616480572.344400
38, 616480582.050400
43, 616480605.892700
46, 616480622.129200
48, 616480630.409900
53, 616480655.788900
55, 616480664.201900
58, 616480678.702200
61, 616480696.688800
65, 616480713.699000
67, 616480725.089500
73, 616480755.813700
76, 616480772.215600
80, 616480788.917200
83, 616480807.188600
86, 616480822.128800
90, 616480840.389700
92, 616480849.885500
96, 616480872.487500
100, 616480890.760300
102, 616480898.835800
106, 616480922.333300
110, 616480940.550000
112, 616480948.729700
116, 616480972.454100
120, 616480989.017400
121, 616480997.232800
127, 616481024.090200
130, 616481040.158100
131, 616481047.375000
135, 616481063.683000
138, 616481080.399900
141, 616481096.964500
146, 616481122.139100
148, 616481130.863000
153, 616481155.485200
156, 616481172.710400
158, 616481180.937000
163, 616481207.071900
168, 616481230.966900
170, 616481240.978100
173, 616481255.619900
177, 616481274.004100
180, 616481289.998700
183, 616481305.528300
187, 616481323.663300
190, 616481340.392000
194, 616481358.907000
196, 616481372.159900
200, 616481390.463900
203, 616481407.137300
206, 616481422.201000
210, 616481440.288600
211, 616481448.310200
215, 616481463.717900
218, 616481480.443400
221, 616481496.710300
225, 616481514.703600
228, 616481529.997800
231, 616481546.768300
235, 616481563.622100
238, 616481580.118000
241, 616481598.095000
247, 616481623.542000
250, 616481640.542800
251, 616481648.105200
256, 616481672.372500
260, 616481688.938900
261, 616481698.133300
266, 616481722.238500
270, 616481740.365700
271, 616481748.231000
277, 616481773.710200
280, 616481790.230300
281, 616481797.123800
286, 616481822.487500
290, 616481842.390300
292, 616481850.646900
297, 616481873.533000
300, 616481890.552300
302, 616481898.583100
304, 616481912.954700
308, 616481930.015300
311, 616481947.124400
316, 616481973.457700
320, 616481990.050200
323, 616482006.953800
325, 616482015.053000
330, 616482038.996100
333, 616482057.219100
335, 616482065.774000
340, 616482090.403100
343, 616482107.843100
345, 616482116.149000
350, 616482138.959400
353, 616482157.324900
357, 616482173.654100
358, 616482183.038400
361, 616482196.111500
367, 616482223.578200
370, 616482240.149700
373, 616482256.969300
377, 616482273.700700
380, 616482290.052400
383, 616482306.844100
386, 616482322.261200
390, 616482340.359600
393, 616482356.691300
397, 616482373.796800
400, 616482388.723000
403, 616482405.540600
407, 616482425.146500
410, 616482438.964200
413, 616482458.157100
416, 616482470.423400
420, 616482490.437300
422, 616482498.642400
427, 616482523.958200
430, 616482540.387600
431, 616482547.595200
436, 616482572.256400
440, 616482588.996800
441, 616482598.415200
446, 616482622.252200
450, 616482640.384000
453, 616482657.800800
457, 616482673.673500
458, 616482681.980500
461, 616482695.288000
465, 616482714.033000
468, 616482729.976900
471, 616482746.535000
477, 616482773.629000
480, 616482790.293400
483, 616482807.054000
485, 616482815.357200
490, 616482839.698200
493, 616482857.250100
495, 616482865.660300
500, 616482889.060600
503, 616482907.029100
