Frame Number, Receipt Time
182, 615793497.789300
189, 615793524.829400
191, 615793531.737100
194, 615793547.261900
198, 615793563.873900
201, 615793580.205400
206, 615793605.055900
211, 615793631.216900
214, 615793647.281600
216, 615793655.552600
219, 615793672.219500
223, 615793688.684700
227, 615793707.980100
229, 615793720.284800
231, 615793731.212700
236, 615793754.732800
241, 615793780.636100
243, 615793789.131100
248, 615793813.800700
251, 615793830.784800
253, 615793839.461300
258, 615793863.912500
260, 615793873.992600
264, 615793897.608100
266, 615793906.649600
269, 615793921.385000
273, 615793940.134600
276, 615793954.063500
279, 615793970.374300
282, 615793987.371900
286, 615794003.934500
289, 615794020.718600
293, 615794037.632800
294, 615794047.407400
298, 615794063.700900
304, 615794097.371400
306, 615794106.363300
311, 615794130.544200
314, 615794147.089600
316, 615794157.469900
318, 615794167.068300
321, 615794180.346900
328, 615794213.458500
331, 615794230.593100
333, 615794237.684600
336, 615794253.720400
341, 615794280.311400
344, 615794297.091400
346, 615794306.832700
349, 615794320.273600
354, 615794347.285100
356, 615794355.685600
359, 615794370.199000
364, 615794397.267200
366, 615794406.722100
368, 615794416.588100
376, 615794452.973900
378, 615794463.317700
381, 615794481.160900
384, 615794497.201800
388, 615794513.708000
391, 615794530.735400
393, 615794538.992800
395, 615794547.609900
401, 615794580.819300
404, 615794597.387000
406, 615794604.204200
409, 615794620.166400
412, 615794637.043900
415, 615794649.798200
418, 615794665.055400
422, 615794683.162700
426, 615794704.424200
429, 615794720.794000
431, 615794731.024500
434, 615794747.123700
441, 615794781.259900
443, 615794790.593100
446, 615794804.836700
451, 615794830.654400
454, 615794847.160500
456, 615794856.792400
459, 615794870.625600
464, 615794897.052100
468, 615794916.140800
470, 615794925.540100
472, 615794934.741100
476, 615794953.797800
479, 615794970.919900
482, 615794987.001700
486, 615795004.901000
489, 615795020.361800
495, 615795048.686800
496, 615795057.184900
499, 615795070.492200
501, 615795080.573100
508, 615795113.460900
510, 615795123.219200
514, 615795147.195200
518, 615795163.711900
519, 615795172.386200
523, 615795192.275200
528, 615795213.645300
531, 615795230.446700
534, 615795246.781000
538, 615795263.739100
541, 615795280.728600
544, 615795297.359700
548, 615795313.848700
551, 615795331.426800
553, 615795339.871800
555, 615795348.456300
559, 615795370.791500
565, 615795397.989900
567, 615795407.914100
569, 615795418.253900
571, 615795429.986100
576, 615795454.472500
3, 615795481.409000
5, 615795489.515500
8, 615795504.524000
13, 615795530.387400
15, 615795540.057400
18, 615795554.145800
23, 615795580.499400
25, 615795589.666700
28, 615795603.945900
33, 615795630.680000
35, 615795639.161900
38, 615795653.835000
41, 615795670.294100
43, 615795680.919500
47, 615795697.591700
53, 615795731.058000
55, 615795739.205600
57, 615795747.649600
61, 615795770.411900
68, 615795802.969900
69, 615795811.878500
72, 615795823.430700
73, 615795831.869700
80, 615795863.455500
82, 615795873.364400
85, 615795890.524200
90, 615795913.415200
92, 615795923.413800
96, 615795946.833000
98, 615795956.403100
103, 615795980.302100
105, 615795990.150300
109, 615796008.315100
113, 615796030.365900
115, 615796039.357500
120, 615796063.812500
123, 615796080.631900
125, 615796088.962100
128, 615796105.993100
133, 615796130.865100
135, 615796139.499700
137, 615796148.020100
141, 615796170.505700
146, 615796197.052000
148, 615796205.798600
150, 615796214.208100
155, 615796237.589200
160, 615796264.142800
163, 615796280.650000
165, 615796292.250200
168, 615796304.786200
173, 615796330.477500
177, 615796347.730800
180, 615796363.679500
183, 615796380.944600
186, 615796397.535300
190, 615796413.628700
193, 615796430.739300
196, 615796446.925100
200, 615796463.959500
202, 615796473.615000
204, 615796487.508500
207, 615796498.069400
211, 615796520.667300
214, 615796537.185200
218, 615796554.180200
221, 615796570.921900
224, 615796586.343400
227, 615796598.876900
230, 615796615.973900
233, 615796630.716000
238, 615796653.825100
241, 615796670.463300
244, 615796687.378500
247, 615796702.500800
250, 615796715.127400
254, 615796733.157400
257, 615796751.837100
259, 615796759.935600
266, 615796797.438800
268, 615796806.731900
271, 615796821.598500
Frame Number, Receipt Time
280, 615796863.871200
282, 615796874.967600
285, 615796888.859900
288, 615796905.771700
291, 615796920.763900
295, 615796938.075500
298, 615796953.583500
301, 615796970.625200
304, 615796987.337700
310, 615797015.779400
312, 615797025.191800
315, 615797040.017000
317, 615797048.576100
322, 615797072.596600
326, 615797097.147700
328, 615797106.532800
331, 615797120.140400
333, 615797131.578400
338, 615797155.674500
