Frame Number, Receipt Time
511, 617266165.748800
516, 617266178.606800
519, 617266191.694600
523, 617266207.833400
526, 617266224.223300
529, 617266239.870900
533, 617266257.373600
536, 617266273.409400
539, 617266291.203900
541, 617266300.457000
546, 617266323.667200
549, 617266341.362300
551, 617266349.476800
556, 617266374.921900
559, 617266391.351000
561, 617266398.602400
566, 617266423.408300
569, 617266440.123500
571, 617266448.809900
574, 617266463.007400
1, 617266492.184800
5, 617266507.846700
6, 617266514.730800
9, 617266531.790600
13, 617266548.221100
16, 617266564.405700
19, 617266581.377500
23, 617266597.684100
28, 617266624.676400
31, 617266639.874400
35, 617266658.047700
38, 617266673.323200
41, 617266691.424100
43, 617266700.191400
48, 617266724.809800
52, 617266742.321900
55, 617266759.008200
57, 617266767.462700
61, 617266790.015400
65, 617266808.101600
66, 617266816.191400
71, 617266840.020600
75, 617266858.158500
78, 617266876.116000
81, 617266891.674400
85, 617266907.504400
88, 617266923.796400
90, 617266932.198000
93, 617266947.442400
98, 617266973.780300
102, 617266992.094100
105, 617267008.236700
108, 617267023.702800
112, 617267041.940200
114, 617267056.670600
118, 617267074.947400
121, 617267091.098600
125, 617267107.819500
128, 617267125.995900
131, 617267139.773500
135, 617267157.526400
136, 617267166.014800
141, 617267191.298200
145, 617267207.886900
146, 617267215.253500
151, 617267240.258400
155, 617267258.261400
157, 617267267.590700
159, 617267280.352700
165, 617267307.934800
168, 617267324.735900
170, 617267331.960100
173, 617267347.456500
176, 617267364.326900
178, 617267376.452600
182, 617267392.550900
188, 617267423.159100
190, 617267432.371200
195, 617267458.014400
198, 617267474.637800
201, 617267489.975300
203, 617267499.437000
208, 617267524.917700
211, 617267541.248500
213, 617267548.280200
218, 617267574.994900
221, 617267591.363900
223, 617267598.397500
228, 617267624.859700
231, 617267641.378200
233, 617267649.505600
238, 617267673.812200
240, 617267682.224600
242, 617267696.420500
248, 617267724.846600
251, 617267741.581800
253, 617267750.822200
256, 617267763.330400
260, 617267781.771300
263, 617267796.846400
266, 617267814.884100
271, 617267841.243700
275, 617267857.927300
278, 617267874.912700
281, 617267891.126400
283, 617267899.142600
288, 617267923.449600
291, 617267941.583400
295, 617267958.092600
298, 617267973.303200
302, 617267991.845600
305, 617268010.104600
308, 617268023.542500
311, 617268041.460200
314, 617268056.728300
318, 617268074.708000
321, 617268090.058000
325, 617268108.224900
328, 617268126.129200
331, 617268139.871700
334, 617268156.682700
338, 617268175.146700
340, 617268183.109200
345, 617268206.914600
348, 617268224.911000
351, 617268240.516800
355, 617268259.516800
357, 617268267.884300
361, 617268290.059600
365, 617268308.138200
366, 617268316.213000
371, 617268341.445000
375, 617268357.646900
378, 617268373.468700
380, 617268382.096900
385, 617268408.005800
388, 617268424.764900
390, 617268432.903700
395, 617268456.860300
398, 617268474.715200
400, 617268485.909100
402, 617268496.539600
408, 617268525.012800
411, 617268541.305200
413, 617268548.327500
416, 617268563.200100
419, 617268581.499500
425, 617268609.629500
428, 617268623.250100
431, 617268641.419100
436, 617268664.468400
438, 617268675.766100
441, 617268691.464100
443, 617268699.514600
448, 617268724.692600
451, 617268741.576800
453, 617268749.342000
458, 617268773.554700
461, 617268790.697500
463, 617268799.312100
468, 617268824.878100
471, 617268841.260100
473, 617268849.366100
478, 617268874.518700
481, 617268891.203200
483, 617268897.993200
486, 617268914.902500
491, 617268941.668500
495, 617268958.173300
498, 617268975.703600
501, 617268990.401900
505, 617269008.167400
508, 617269024.787100
512, 617269042.195700
514, 617269056.375600
518, 617269073.807500
521, 617269091.197800
525, 617269107.707700
528, 617269124.341400
531, 617269140.020700
535, 617269157.673100
538, 617269174.801800
540, 617269182.235500
545, 617269206.947600
548, 617269226.710500
550, 617269234.703400
552, 617269246.306700
558, 617269274.836600
562, 617269291.787600
563, 617269299.911400
566, 617269313.134600
569, 617269331.243100
573, 617269347.971500
576, 617269364.178300
1, 617269381.700700
5, 617269397.556400
10, 617269424.723100
13, 617269440.994800
17, 617269457.908600
20, 617269474.893400
Frame Number, Receipt Time
25, 617269499.985200
30, 617269524.693600
33, 617269541.147600
35, 617269548.093700
40, 617269573.420900
43, 617269590.201800
45, 617269600.896100
47, 617269610.461400
53, 617269639.934100
55, 617269649.291100
58, 617269663.585100
63, 617269691.366500
67, 617269708.200400
69, 617269717.613800
71, 617269730.638900
75, 617269748.519400
78, 617269764.234000
81, 617269781.393600
87, 617269807.776000
90, 617269825.036800
94, 617269841.910900
97, 617269857.409000
100, 617269874.560100
103, 617269889.994200
107, 617269908.123500
109, 617269917.044200
113, 617269940.049800
