Frame Number, Timestamp
354, 157069587.268000
359, 157069613.840300
366, 157069659.299000
369, 157069670.557700
372, 157069699.429400
377, 157069710.183500
383, 157069730.713400
386, 157069752.250900
387, 157069755.826300
390, 157069771.901800
393, 157069782.369500
399, 157069813.524100
401, 157069821.155900
404, 157069835.788700
407, 157069853.738300
412, 157069880.401600
416, 157069897.230000
419, 157069913.685600
423, 157069931.209300
424, 157069939.775700
429, 157069964.191400
433, 157069981.856800
434, 157069988.781500
439, 157070016.175800
442, 157070031.157400
444, 157070037.121900
449, 157070063.162600
452, 157070079.297000
454, 157070089.307100
459, 157070112.790400
463, 157070131.601800
466, 157070145.837900
469, 157070165.278500
471, 157070171.991000
474, 157070187.271700
479, 157070213.676200
483, 157070230.695200
486, 157070247.512000
489, 157070264.223500
492, 157070280.331500
496, 157070297.724900
499, 157070313.321800
503, 157070330.518200
506, 157070347.321600
509, 157070364.347200
512, 157070379.376100
516, 157070398.014500
519, 157070412.465100
523, 157070430.835200
524, 157070439.020700
529, 157070464.424700
533, 157070480.943600
534, 157070488.660600
539, 157070512.528000
543, 157070531.200900
544, 157070538.917600
547, 157070551.888600
553, 157070580.535700
556, 157070597.091900
557, 157070605.294600
560, 157070619.921400
564, 157070636.654500
567, 157070653.790300
573, 157070680.609200
576, 157070697.278600
1, 157070713.695000
4, 157070730.335200
8, 157070747.205500
9, 157070753.545500
14, 157070779.239200
18, 157070797.823100
20, 157070806.961500
24, 157070829.142700
28, 157070846.432600
29, 157070854.243600
35, 157070880.669500
38, 157070897.366800
39, 157070904.119400
45, 157070930.653900
48, 157070947.263500
49, 157070955.220500
52, 157070968.601100
58, 157070998.712500
61, 157071013.845000
64, 157071029.463700
69, 157071054.297900
72, 157071067.697200
73, 157071074.832600
78, 157071096.280200
82, 157071120.097000
85, 157071130.409900
88, 157071147.363900
91, 157071163.934500
93, 157071173.255500
98, 157071196.000200
101, 157071214.372800
103, 157071222.242600
108, 157071246.152000
111, 157071263.752700
114, 157071279.457700
118, 157071298.612800
121, 157071312.484000
125, 157071330.968500
128, 157071350.114000
131, 157071362.427700
134, 157071380.098300
138, 157071396.103300
141, 157071412.537700
144, 157071430.214400
148, 157071446.176500
151, 157071462.463300
155, 157071480.662500
158, 157071497.986800
161, 157071512.822200
165, 157071530.651300
168, 157071547.891800
169, 157071557.367900
175, 157071581.710000
178, 157071597.792200
180, 157071606.863900
184, 157071631.004800
188, 157071648.461800
189, 157071655.253000
194, 157071679.300400
198, 157071697.317700
199, 157071704.741400
205, 157071732.752300
208, 157071747.512900
209, 157071754.309200
212, 157071770.624300
218, 157071798.646000
220, 157071805.677600
222, 157071819.022100
226, 157071836.581400
229, 157071853.144900
232, 157071870.881500
238, 157071896.858100
241, 157071913.734400
245, 157071930.531900
246, 157071938.115700
251, 157071963.948200
255, 157071980.742200
256, 157071987.423000
261, 157072013.958300
265, 157072030.675900
266, 157072039.039700
271, 157072062.591700
274, 157072079.913200
276, 157072089.142100
281, 157072113.174500
285, 157072130.764700
286, 157072137.360100
291, 157072164.436900
295, 157072180.690200
296, 157072188.264600
299, 157072201.728400
304, 157072230.698700
308, 157072247.152300
311, 157072264.725300
315, 157072280.653200
318, 157072297.203300
321, 157072313.569300
324, 157072329.305600
328, 157072346.702200
331, 157072362.396100
334, 157072380.027800
338, 157072397.325200
341, 157072413.836700
345, 157072430.646100
348, 157072447.839300
349, 157072455.204800
355, 157072480.962400
358, 157072497.068900
359, 157072503.433500
364, 157072530.408800
368, 157072547.883500
370, 157072557.127000
372, 157072568.892700
376, 157072587.309800
379, 157072605.805000
382, 157072619.813900
386, 157072636.486600
389, 157072653.326400
395, 157072680.722000
398, 157072697.276400
401, 157072713.602200
404, 157072729.081000
408, 157072748.246500
411, 157072763.838100
413, 157072771.368300
418, 157072796.251700
421, 157072813.549700
422, 157072820.037600
428, 157072847.377000
431, 157072863.690400
433, 157072870.505900
438, 157072896.350300
441, 157072916.150100
443, 157072920.965900
448, 157072946.270600
451, 157072962.593300
453, 157072970.622200
455, 157072985.219700
459, 157073003.517800
462, 157073019.777400
466, 157073036.503800
469, 157073053.670700
475, 157073080.437300
478, 157073097.184600
481, 157073113.518700
484, 157073129.175700
488, 157073145.781400
491, 157073163.623700
495, 157073180.416100
498, 157073197.731800
