Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
24751, 622932481.392900, 0.003272, 0.000174, 0.000910, 0.000113, 
24754, 622932496.681900, 0.003218, 0.000164, 0.000923, 0.000110, 
24755, 622932500.925500, 0.003268, 0.000147, 0.000872, 0.000107, 
24757, 622932510.431800, 0.003281, 0.000163, 0.000875, 0.000110, 
24758, 622932515.566200, 0.003210, 0.000151, 0.000856, 0.000100, 
24759, 622932519.069500, 0.003219, 0.000326, 0.000951, 0.000116, 
24760, 622932525.385500, 0.003199, 0.000145, 0.000903, 0.000109, 
24761, 622932528.664100, 0.003243, 0.000158, 0.000856, 0.000109, 
24762, 622932532.786400, 0.003223, 0.000265, 0.000944, 0.000100, 
24763, 622932537.817200, 0.003218, 0.000204, 0.001001, 0.000122, 
24764, 622932542.852200, 0.003204, 0.000177, 0.000984, 0.000118, 
24765, 622932547.714000, 0.003248, 0.000175, 0.000931, 0.000109, 
24766, 622932552.720800, 0.003198, 0.000159, 0.000979, 0.000118, 
24767, 622932557.586600, 0.003198, 0.000152, 0.000884, 0.000105, 
24768, 622932562.595400, 0.003217, 0.000143, 0.000880, 0.000104, 
24769, 622932567.736200, 0.003216, 0.000232, 0.000918, 0.000113, 
24770, 622932572.620700, 0.003207, 0.000173, 0.000877, 0.000107, 
24771, 622932577.672900, 0.003211, 0.000162, 0.000926, 0.000113, 
24772, 622932582.982300, 0.003192, 0.000373, 0.001027, 0.000119, 
24773, 622932587.611900, 0.003183, 0.000150, 0.000897, 0.000113, 
24774, 622932592.621400, 0.003191, 0.000150, 0.000919, 0.000105, 
24775, 622932597.719600, 0.003196, 0.000161, 0.000988, 0.000115, 0.000065
24776, 622932602.788000, 0.003191, 0.000164, 0.001039, 0.000116, 0.000065
24777, 622932607.597700, 0.003190, 0.000154, 0.000881, 0.000108, 0.000065
24778, 622932612.623300, 0.003196, 0.000153, 0.000927, 0.000105, 0.000065
24779, 622932617.762600, 0.003209, 0.000168, 0.000963, 0.000112, 0.000065
24780, 622932622.688900, 0.003200, 0.000156, 0.000939, 0.000108, 0.000065
24781, 622932627.657400, 0.003204, 0.000155, 0.000936, 0.000104, 0.000064
24782, 622932632.778800, 0.003208, 0.000170, 0.001015, 0.000112, 0.000064
24783, 622932637.655900, 0.003208, 0.000170, 0.000910, 0.000105, 0.000065
24784, 622932642.607100, 0.003206, 0.000165, 0.000878, 0.000097, 0.000065
24785, 622932647.658200, 0.003206, 0.000161, 0.000908, 0.000117, 0.000064
24786, 622932652.669300, 0.003208, 0.000158, 0.000935, 0.000106, 0.000064
24787, 622932657.661700, 0.003209, 0.000155, 0.000902, 0.000104, 0.000064
24788, 622932662.738400, 0.003212, 0.000179, 0.000972, 0.000112, 0.000064
24789, 622932667.693700, 0.003221, 0.000166, 0.000940, 0.000106, 0.000066
24790, 622932672.697600, 0.003204, 0.000158, 0.000961, 0.000109, 0.000066
24791, 622932677.848400, 0.003222, 0.000180, 0.001038, 0.000119, 0.000067
24792, 622932683.008300, 0.003217, 0.000389, 0.001014, 0.000117, 0.000067
24793, 622932687.657900, 0.003209, 0.000153, 0.000914, 0.000119, 0.000070
24794, 622932692.764800, 0.003214, 0.000166, 0.001006, 0.000116, 0.000070
24795, 622932697.681800, 0.003215, 0.000155, 0.000940, 0.000113, 0.000073
24796, 622932704.502400, 0.003281, 0.000204, 0.001130, 0.000121, 0.000073
24797, 622932711.375300, 0.003214, 0.000166, 0.000968, 0.000124, 0.000071
24798, 622932714.493400, 0.003271, 0.000169, 0.000959, 0.000124, 0.000070
24799, 622932717.812300, 0.003192, 0.000255, 0.000961, 0.000120, 0.000071
24800, 622932722.629000, 0.003206, 0.000150, 0.000904, 0.000111, 0.000070
24801, 622932727.856700, 0.003216, 0.000165, 0.001085, 0.000123, 0.000070
24802, 622932732.752800, 0.003222, 0.000209, 0.000957, 0.000119, 0.000069
24803, 622932737.703300, 0.003261, 0.000158, 0.000903, 0.000118, 0.000069
24804, 622932743.168000, 0.003261, 0.000203, 0.001312, 0.000127, 0.000069
24805, 622932747.759400, 0.003205, 0.000165, 0.000974, 0.000130, 0.000069
24806, 622932752.913500, 0.003247, 0.000211, 0.001055, 0.000130, 0.000069
24807, 622932757.817100, 0.003174, 0.000165, 0.001066, 0.000120, 0.000069
24808, 622932762.719100, 0.003218, 0.000164, 0.000957, 0.000121, 0.000067
24809, 622932767.861100, 0.003223, 0.000324, 0.000942, 0.000116, 0.000067
24810, 622932772.696800, 0.003216, 0.000164, 0.000954, 0.000104, 0.000067
24811, 622932777.773700, 0.003213, 0.000205, 0.000985, 0.000107, 0.000067
24812, 622932782.814000, 0.003192, 0.000243, 0.000956, 0.000110, 0.000064
24813, 622932787.780600, 0.003340, 0.000158, 0.000925, 0.000104, 0.000064
24814, 622932792.691500, 0.003321, 0.000156, 0.000867, 0.000096, 0.000062
24815, 622932797.683500, 0.003311, 0.000172, 0.000816, 0.000093, 0.000062
24816, 622932802.541300, 0.003176, 0.000149, 0.000847, 0.000088, 0.000061
24817, 622932807.623600, 0.003113, 0.000146, 0.000888, 0.000122, 0.000061
24818, 622932812.731700, 0.003175, 0.000145, 0.000954, 0.000160, 0.000060
24819, 622932817.708800, 0.003199, 0.000154, 0.000969, 0.000123, 0.000060
24820, 622932822.719700, 0.003162, 0.000176, 0.000963, 0.000117, 0.000063
24821, 622932827.737000, 0.003287, 0.000155, 0.000887, 0.000107, 0.000063
24822, 622932833.181300, 0.003287, 0.000367, 0.001130, 0.000100, 0.000063
24823, 622932837.639400, 0.003232, 0.000147, 0.000909, 0.000109, 0.000063
24824, 622932842.700200, 0.003275, 0.000190, 0.000843, 0.000097, 0.000064
24825, 622932847.753400, 0.003151, 0.000207, 0.000948, 0.000106, 0.000064
24826, 622932852.695300, 0.003227, 0.000164, 0.000934, 0.000109, 0.000062
24827, 622932857.669000, 0.003249, 0.000170, 0.000886, 0.000105, 0.000062
24828, 622932862.573800, 0.003188, 0.000153, 0.000844, 0.000093, 0.000062
24829, 622932868.299100, 0.003607, 0.000375, 0.000919, 0.000101, 0.000062
24830, 622932872.753700, 0.003400, 0.000154, 0.000859, 0.000102, 0.000062
24831, 622932878.217400, 0.003382, 0.000373, 0.001119, 0.000098, 0.000062
24832, 622932882.793700, 0.003292, 0.000346, 0.000826, 0.000095, 0.000062
24833, 622932887.538300, 0.003209, 0.000137, 0.000842, 0.000093, 0.000062
24834, 622932893.147900, 0.003345, 0.000386, 0.001027, 0.000101, 0.000065
24835, 622932897.693000, 0.003363, 0.000156, 0.000848, 0.000096, 0.000065
24836, 622932902.604300, 0.003198, 0.000152, 0.000905, 0.000108, 0.000065
24837, 622932908.172400, 0.003263, 0.000394, 0.001063, 0.000102, 0.000065
24838, 622932913.148600, 0.003336, 0.000378, 0.001092, 0.000113, 0.000065
24839, 622932917.663700, 0.003172, 0.000147, 0.000935, 0.000113, 0.000065
24840, 622932922.586400, 0.003164, 0.000146, 0.000868, 0.000108, 0.000063
24841, 622932927.697600, 0.003353, 0.000159, 0.000832, 0.000098, 0.000063
24842, 622932932.700600, 0.003151, 0.000142, 0.001002, 0.000108, 0.000063
24843, 622932937.606200, 0.003223, 0.000149, 0.000861, 0.000109, 0.000063
24844, 622932943.149100, 0.003282, 0.000377, 0.001092, 0.000102, 0.000062
24845, 622932947.528900, 0.003171, 0.000139, 0.000816, 0.000105, 0.000062
24846, 622932952.812200, 0.003259, 0.000178, 0.001013, 0.000112, 0.000062
24847, 622932958.069300, 0.003318, 0.000367, 0.000984, 0.000099, 0.000062
24848, 622932962.622200, 0.003266, 0.000141, 0.000830, 0.000114, 0.000062
24849, 622932967.661400, 0.003181, 0.000165, 0.000916, 0.000104, 0.000062
24850, 622932972.870400, 0.003192, 0.000195, 0.001000, 0.000172, 0.000062
24851, 622932977.673200, 0.003286, 0.000162, 0.000846, 0.000107, 0.000062
24852, 622932982.882000, 0.003179, 0.000255, 0.001036, 0.000115, 0.000061
24853, 622932987.789000, 0.003266, 0.000150, 0.000989, 0.000107, 0.000061
24854, 622932992.617900, 0.003223, 0.000157, 0.000879, 0.000105, 0.000060
24855, 622932998.476200, 0.003346, 0.000359, 0.001124, 0.000348, 0.000060
24856, 622933003.217300, 0.003361, 0.000398, 0.001087, 0.000111, 0.000060
24857, 622933008.096900, 0.003379, 0.000395, 0.000972, 0.000097, 0.000060
24858, 622933013.160700, 0.003350, 0.000370, 0.001086, 0.000115, 0.000060
24859, 622933017.778900, 0.003225, 0.000172, 0.000994, 0.000112, 0.000060
24860, 622933022.544800, 0.003156, 0.000161, 0.000829, 0.000107, 0.000060
24861, 622933027.822100, 0.003174, 0.000182, 0.001048, 0.000120, 0.000060
24862, 622933032.847200, 0.003220, 0.000185, 0.001053, 0.000123, 0.000062
24863, 622933038.289500, 0.003336, 0.000379, 0.001165, 0.000104, 0.000062
24864, 622933042.606100, 0.003301, 0.000148, 0.000825, 0.000101, 0.000062
24865, 622933047.532100, 0.003137, 0.000143, 0.000840, 0.000107, 0.000062
