Frame Number, Timestamp
1648407, 619299672.114500
1648408, 619299672.139700
1648409, 619299672.147800
1648410, 619299672.152600
1648411, 619299672.156400
1648412, 619299672.174200
1648413, 619299672.206600
1648414, 619299672.212300
1648415, 619299672.216700
1648416, 619299672.235700
1648952, 619299674.822000
1648953, 619299679.694300
1648954, 619299684.952400
1648955, 619299689.932900
1648956, 619299694.941000
1648957, 619299699.762200
1648958, 619299704.595300
1648959, 619299710.092300
1648960, 619299714.636200
1648961, 619299719.983100
1648962, 619299725.049100
1648963, 619299729.611200
1648964, 619299734.900400
1648965, 619299739.773700
1648966, 619299745.015000
1648967, 619299749.681400
1648968, 619299754.560700
1648969, 619299760.150400
1648970, 619299765.117600
1648971, 619299769.826100
1648972, 619299775.020500
1648973, 619299779.803400
1648974, 619299784.772500
1648975, 619299789.542100
1648976, 619299794.554400
1648977, 619299799.956600
1648978, 619299805.286700
1648979, 619299809.795800
1648980, 619299814.762100
1648981, 619299819.915800
1648982, 619299824.762600
1648983, 619299829.689600
1648984, 619299834.955500
1648985, 619299839.911000
1648986, 619299845.072100
1648987, 619299849.920300
1648988, 619299855.033800
1648989, 619299859.652200
1648990, 619299864.672300
1648991, 619299869.914400
1648992, 619299874.866600
1648993, 619299880.065100
1648994, 619299884.706400
1648995, 619299889.675700
1648996, 619299894.871900
1648997, 619299899.806900
1648998, 619299904.820700
1648999, 619299909.630100
1649000, 619299914.723700
1649001, 619299920.289000
1649002, 619299925.108900
1649003, 619299929.975800
1649004, 619299935.148200
1649005, 619299939.848600
1649006, 619299944.935000
1649007, 619299949.599300
1649008, 619299954.664600
1649009, 619299959.822300
1649010, 619299964.637600
1649011, 619299971.198800
1649012, 619299974.931400
1649013, 619299979.493100
1649014, 619299984.943800
1649015, 619299989.524900
1649016, 619299994.549000
1649017, 619300000.064400
1649018, 619300004.982400
1649019, 619300009.749500
1649020, 619300014.817600
1649021, 619300020.139400
1649022, 619300024.647300
1649023, 619300029.854600
1649024, 619300035.001600
1649025, 619300039.654100
1649026, 619300045.095800
1649027, 619300050.023700
1649028, 619300054.821100
1649029, 619300059.950200
1649030, 619300064.811800
1649031, 619300069.655600
1649032, 619300074.774600
1649033, 619300079.780200
1649034, 619300085.346100
1649035, 619300090.036000
1649036, 619300095.246400
1649037, 619300099.680800
1649038, 619300104.673500
1649039, 619300109.939600
1649040, 619300115.741000
1649041, 619300119.917600
1649042, 619300124.971900
1649043, 619300129.608800
1649044, 619300135.087900
1649045, 619300140.141400
1649046, 619300144.782100
1649047, 619300149.617700
1649048, 619300154.771300
1649049, 619300159.847000
1649050, 619300164.705000
1649051, 619300170.038200
1649052, 619300174.951800
1649053, 619300179.647000
1649054, 619300184.722900
1649055, 619300189.931100
1649056, 619300194.807800
1649057, 619300199.830900
1649058, 619300204.504200
1649059, 619300209.763900
1649060, 619300215.096000
1649061, 619300219.823000
1649062, 619300224.760600
1649063, 619300229.809200
1649064, 619300234.915900
1649065, 619300239.906800
1649066, 619300244.763000
1649067, 619300249.965800
1649068, 619300254.475600
1649069, 619300259.614200
1649070, 619300264.954500
1649071, 619300269.853300
1649072, 619300274.906100
1649073, 619300279.765800
1649074, 619300285.094400
1649075, 619300289.690300
1649076, 619300294.796600
1649077, 619300299.979100
1649078, 619300304.572400
1649079, 619300309.614100
1649080, 619300314.741200
1649081, 619300320.039300
1649082, 619300324.977000
1649083, 619300329.961200
1649084, 619300334.860600
1649085, 619300340.067300
1649086, 619300344.824900
1649087, 619300350.201700
1649088, 619300355.025100
1649089, 619300359.694300
1649090, 619300364.582000
1649091, 619300369.971700
1649092, 619300374.785400
1649093, 619300379.905500
1649094, 619300384.532300
1649095, 619300389.658100
1649096, 619300394.788600
1649097, 619300399.836300
1649098, 619300404.815400
1649099, 619300409.956400
1649100, 619300414.605400
1649101, 619300419.804800
1649102, 619300424.964500
1649103, 619300429.677100
1649104, 619300434.830500
1649105, 619300439.982600
1649106, 619300444.693000
1649107, 619300449.958600
1649108, 619300454.590800
1649109, 619300460.381800
1649110, 619300464.638000
1649111, 619300469.857200
1649112, 619300475.122800
1649113, 619300479.685400
1649114, 619300484.909800
1649115, 619300490.008800
1649116, 619300494.525400
1649117, 619300499.589200
1649118, 619300504.699100
1649119, 619300509.589500
1649120, 619300514.719100
1649121, 619300520.362900
1649122, 619300524.707900
1649123, 619300530.119600
1649124, 619300534.932300
1649125, 619300539.624800
1649126, 619300545.172700
1649127, 619300549.604700
1649128, 619300554.642000
1649129, 619300559.746900
1649130, 619300565.052600
1649131, 619300569.754800
1649132, 619300574.633700
1649133, 619300579.691800
1649134, 619300585.219700
1649135, 619300590.065000
1649136, 619300594.979000
1649137, 619300599.933500
1649138, 619300604.759600
1649139, 619300609.618300
1649140, 619300614.686600
1649141, 619300619.921800
1649142, 619300624.781100
1649143, 619300629.769500
1649144, 619300634.787900
1649145, 619300639.884700
1649146, 619300644.697700
1649147, 619300649.974300
1649148, 619300654.921700
1649149, 619300660.100100
1649150, 619300664.605200
1649151, 619300669.942500
1649152, 619300674.638000
1649153, 619300679.904400
1649154, 619300685.194700
1649155, 619300689.985400
1649156, 619300694.702000
1649157, 619300700.136500
1649158, 619300704.588800
1649159, 619300709.656200
1649160, 619300714.946300
1649161, 619300719.919300
1649162, 619300724.681500
1649163, 619300729.800900
1649164, 619300734.756300
1649165, 619300740.193600
1649166, 619300744.923600
1649167, 619300749.929800
1649168, 619300754.787100
1649169, 619300759.981800
1649170, 619300764.701700
1649171, 619300769.954400
1649172, 619300775.022600
1649173, 619300779.961800
1649174, 619300784.947700
1649175, 619300790.189000
1649176, 619300794.954600
1649177, 619300800.110900
1649178, 619300804.898000
1649179, 619300810.063800
1649180, 619300814.872600
1649181, 619300820.151700
1649182, 619300824.630900
1649183, 619300829.962400
1649184, 619300834.512200
1649185, 619300839.742800
1649186, 619300844.879700
1649187, 619300849.582300
1649188, 619300854.641700
1649189, 619300859.897700
1649190, 619300864.632900
1649191, 619300869.597400
1649192, 619300874.930000
1649193, 619300879.519100
1649194, 619300884.816700
1649195, 619300889.930700
1649196, 619300894.708700
1649197, 619300899.640700
1649198, 619300904.878800
1649199, 619300910.217600
1649200, 619300914.912200
1649201, 619300919.937100
1649202, 619300925.125000
1649203, 619300929.989400
1649204, 619300934.515900
1649205, 619300939.962400
1649206, 619300944.944300
1649207, 619300949.674600
1649208, 619300954.508300
1649209, 619300959.623000
1649210, 619300964.990100
1649211, 619300969.743900
1649212, 619300974.679700
1649213, 619300980.090700
1649214, 619300984.938200
1649215, 619300989.768700
1649216, 619300995.046100
1649217, 619301000.015400
1649218, 619301004.883900
1649219, 619301009.715000
1649220, 619301014.960400
1649221, 619301019.591700
1649222, 619301024.692500
1649223, 619301029.588200
1649224, 619301034.513600
1649225, 619301040.051200
1649226, 619301045.025000
1649227, 619301049.503000
1649228, 619301054.527000
1649229, 619301059.939800
1649230, 619301064.779900
1649231, 619301069.844400
1649232, 619301074.963500
1649233, 619301079.821000
1649234, 619301084.919400
1649235, 619301089.484000
1649236, 619301094.631800
1649237, 619301099.709000
1649238, 619301104.719100
1649239, 619301109.598900
1649240, 619301114.577600
1649241, 619301119.996000
1649242, 619301124.527100
1649243, 619301129.930600
1649244, 619301134.823200
1649245, 619301139.759400
1649246, 619301144.618600
1649247, 619301149.924600
1649248, 619301154.502800
1649249, 619301159.708700
1649250, 619301164.970900
1649251, 619301170.064800
1649252, 619301174.601900
1649253, 619301179.801400
1649254, 619301185.305000
1649255, 619301189.754100
1649256, 619301194.892300
1649257, 619301200.181900
1649258, 619301204.830000
1649259, 619301210.273800
1649260, 619301214.888600
1649261, 619301219.948300
1649262, 619301224.697000
1649263, 619301229.762100
1649264, 619301234.569800
1649265, 619301240.110900
1649266, 619301244.850800
1649267, 619301249.633900
1649268, 619301254.684300
1649269, 619301259.958700
1649270, 619301264.854000
1649271, 619301269.824300
1649272, 619301275.242000
1649273, 619301280.028000
1649274, 619301285.078100
1649275, 619301289.945600
1649276, 619301294.799200
1649277, 619301299.947300
1649278, 619301304.603700
1649279, 619301309.664300
1649280, 619301314.555000
1649281, 619301320.189100
1649282, 619301324.892500
1649283, 619301329.642100
1649284, 619301334.893700
1649285, 619301339.581900
1649286, 619301344.831700
1649287, 619301349.725400
1649288, 619301354.625800
1649289, 619301359.570700
1649290, 619301364.764400
1649291, 619301370.246100
