Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
5633, 625100188.038400, 0.003256, 0.000183, 0.000849, 0.000311, 
5636, 625100199.596300, 0.003273, 0.000144, 0.000748, 0.000105, 
5638, 625100211.380500, 0.003240, 0.000149, 0.000777, 0.000111, 
5640, 625100223.946600, 0.003231, 0.000144, 0.000745, 0.000103, 
5643, 625100236.409300, 0.003217, 0.000165, 0.000767, 0.000104, 
5645, 625100248.964800, 0.003206, 0.000199, 0.000833, 0.000105, 
5648, 625100261.495000, 0.003265, 0.000222, 0.000894, 0.000103, 
5650, 625100273.855500, 0.003300, 0.000151, 0.000753, 0.000105, 
5653, 625100286.451300, 0.003139, 0.000146, 0.000736, 0.000099, 
5655, 625100298.872500, 0.003242, 0.000163, 0.000814, 0.000114, 
5658, 625100311.432000, 0.003208, 0.000349, 0.001112, 0.000101, 
5660, 625100324.040600, 0.003212, 0.000171, 0.000818, 0.000115, 
5663, 625100336.451100, 0.003360, 0.000192, 0.000842, 0.000110, 
5665, 625100349.005800, 0.003268, 0.000171, 0.000801, 0.000104, 
5668, 625100361.500700, 0.003319, 0.000363, 0.001154, 0.000111, 
5670, 625100373.863600, 0.003199, 0.000168, 0.000827, 0.000117, 
5673, 625100386.511800, 0.003360, 0.000246, 0.000776, 0.000106, 
5675, 625100399.011700, 0.003268, 0.000194, 0.000795, 0.000099, 
5678, 625100411.412800, 0.003188, 0.000138, 0.000715, 0.000152, 
5680, 625100423.931200, 0.003261, 0.000235, 0.000772, 0.000101, 
5683, 625100436.416600, 0.003227, 0.000172, 0.000897, 0.000109, 0.000063
5685, 625100448.950200, 0.003290, 0.000248, 0.000799, 0.000107, 0.000063
5688, 625100461.432600, 0.003192, 0.000157, 0.000748, 0.000104, 0.000066
5690, 625100473.844000, 0.003309, 0.000180, 0.000723, 0.000094, 0.000066
5693, 625100486.503100, 0.003276, 0.000170, 0.000739, 0.000101, 0.000066
5695, 625100498.928700, 0.003231, 0.000183, 0.000851, 0.000107, 0.000066
5698, 625100511.569000, 0.003207, 0.000140, 0.000857, 0.000101, 0.000069
5700, 625100524.239500, 0.003168, 0.000153, 0.000723, 0.000095, 0.000069
5703, 625100536.481300, 0.003350, 0.000171, 0.000723, 0.000090, 0.000070
5705, 625100549.047100, 0.003351, 0.000150, 0.000905, 0.000105, 0.000070
5708, 625100561.554000, 0.003318, 0.000244, 0.000839, 0.000100, 0.000074
5710, 625100573.848400, 0.003234, 0.000132, 0.000712, 0.000089, 0.000074
5713, 625100586.575800, 0.003345, 0.000159, 0.000750, 0.000110, 0.000073
5715, 625100598.864200, 0.003380, 0.000174, 0.000910, 0.000111, 0.000073
5718, 625100611.495200, 0.003377, 0.000170, 0.000891, 0.000101, 0.000072
5720, 625100623.938600, 0.003301, 0.000381, 0.000983, 0.000095, 0.000072
5723, 625100636.339000, 0.003215, 0.000208, 0.000830, 0.000116, 0.000072
5725, 625100648.982300, 0.003304, 0.000223, 0.000797, 0.000108, 0.000072
5728, 625100661.516500, 0.003286, 0.000168, 0.000768, 0.000110, 0.000074
5730, 625100673.833300, 0.003712, 0.000145, 0.000782, 0.000112, 0.000074
5733, 625100686.493000, 0.003242, 0.000161, 0.000785, 0.000105, 0.000075
5735, 625100698.909700, 0.003274, 0.000271, 0.000839, 0.000094, 0.000075
5738, 625100711.548700, 0.003325, 0.000364, 0.000969, 0.000103, 0.000076
5740, 625100723.926800, 0.003084, 0.000151, 0.000759, 0.000115, 0.000076
5743, 625100736.400800, 0.003161, 0.000179, 0.000781, 0.000106, 0.000075
5745, 625100748.952300, 0.003280, 0.000177, 0.000981, 0.000125, 0.000075
5748, 625100761.490300, 0.003238, 0.000402, 0.000967, 0.000101, 0.000075
5750, 625100773.940900, 0.003314, 0.000155, 0.000731, 0.000100, 0.000075
5753, 625100786.570400, 0.003268, 0.000158, 0.000801, 0.000103, 0.000074
5755, 625100798.934200, 0.003243, 0.000163, 0.000808, 0.000100, 0.000074
5758, 625100811.392200, 0.003343, 0.000347, 0.001085, 0.000091, 0.000070
5760, 625100823.936700, 0.003336, 0.000231, 0.000794, 0.000096, 0.000070
5763, 625100836.418900, 0.003331, 0.000184, 0.000816, 0.000099, 0.000070
5765, 625100849.005200, 0.003241, 0.000192, 0.000814, 0.000100, 0.000070
5768, 625100861.417400, 0.003189, 0.000149, 0.000772, 0.000343, 0.000070
5770, 625100873.832700, 0.003325, 0.000159, 0.000824, 0.000150, 0.000070
5773, 625100886.439500, 0.003276, 0.000216, 0.000751, 0.000113, 0.000071
5775, 625100898.951000, 0.003240, 0.000187, 0.000823, 0.000114, 0.000071
5778, 625100911.418500, 0.003186, 0.000175, 0.001179, 0.000112, 0.000069
5780, 625100923.918000, 0.003220, 0.000142, 0.000738, 0.000107, 0.000069
5783, 625100936.398300, 0.003259, 0.000181, 0.000766, 0.000095, 0.000068
5785, 625100948.908400, 0.003253, 0.000172, 0.000936, 0.000111, 0.000068
5788, 625100961.479400, 0.003235, 0.000145, 0.000743, 0.000104, 0.000065
5790, 625100973.839500, 0.003323, 0.000184, 0.000725, 0.000093, 0.000065
5793, 625100986.471600, 0.003301, 0.000171, 0.000776, 0.000103, 0.000066
