Frame Number, Timestamp
1837, 625022176.189000
1384, 625022181.924900
1387, 625022196.033600
1389, 625022207.739600
1391, 625022216.626100
1395, 625022237.644200
1398, 625022253.643600
1402, 625022270.124600
1405, 625022286.443000
1408, 625022303.426700
1412, 625022320.048100
1415, 625022337.086900
1418, 625022353.405400
1422, 625022369.953600
1425, 625022386.362700
1428, 625022403.018200
1430, 625022412.439600
1435, 625022438.356000
1439, 625022454.645200
1443, 625022478.909400
1445, 625022488.362700
1448, 625022503.128600
1453, 625022528.993900
1458, 625022553.424100
1461, 625022565.519500
1463, 625022574.800400
1467, 625022595.839900
1470, 625022612.902100
1472, 625022621.757500
1474, 625022632.203800
1477, 625022645.482300
1482, 625022671.755600
1487, 625022695.805300
1489, 625022705.093300
1492, 625022719.917400
1497, 625022746.192200
1499, 625022755.804700
1502, 625022769.966700
1507, 625022795.742600
1509, 625022805.154100
1511, 625022815.363100
1517, 625022846.310800
1519, 625022855.301500
1521, 625022865.354500
1525, 625022886.545000
1527, 625022895.794700
1530, 625022912.591200
1537, 625022945.905200
1539, 625022955.193400
1541, 625022965.264000
1543, 625022978.853800
1550, 625023012.654300
1552, 625023022.246000
1554, 625023033.849000
1557, 625023045.230100
1563, 625023078.558800
1567, 625023095.608300
1570, 625023112.837800
1572, 625023121.794000
1575, 625023138.454500
1580, 625023162.926500
1582, 625023172.165200
1584, 625023182.899300
1590, 625023212.517000
1592, 625023221.649400
1594, 625023231.676100
1599, 625023254.956800
1602, 625023270.018800
1605, 625023286.508500
1608, 625023303.589700
1612, 625023320.533800
1615, 625023336.509700
1618, 625023353.657200
1622, 625023370.205300
1627, 625023395.889000
1629, 625023406.869200
1632, 625023421.304300
1635, 625023437.544000
1638, 625023453.300300
1642, 625023470.170900
1647, 625023495.563700
1650, 625023512.280200
1652, 625023522.936500
1655, 625023536.659300
1660, 625023562.364400
1662, 625023572.091900
1665, 625023586.696100
1670, 625023612.747900
1672, 625023621.798700
1674, 625023632.206900
1678, 625023653.806300
1683, 625023678.829700
1685, 625023687.908400
1687, 625023698.667800
1692, 625023721.398700
1697, 625023745.871900
1699, 625023755.249400
1701, 625023765.371500
1703, 625023778.486400
1712, 625023820.464300
1714, 625023832.390500
1716, 625023841.249800
1719, 625023855.150400
1723, 625023879.055700
1725, 625023888.154000
1728, 625023903.185800
1733, 625023928.869100
1737, 625023946.078900
1740, 625023962.792800
1744, 625023979.430800
1747, 625023995.913800
1750, 625024012.140000
1753, 625024028.957600
1757, 625024045.853700
1759, 625024057.895300
1761, 625024066.024200
1765, 625024086.507900
1770, 625024112.556700
1773, 625024125.118600
1775, 625024134.348100
1780, 625024162.369300
1784, 625024179.206400
1785, 625024188.359400
1787, 625024198.815200
1792, 625024221.531000
1798, 625024252.800000
1800, 625024263.801300
1803, 625024275.583000
1805, 625024284.574400
1809, 625024305.313100
1813, 625024328.572300
1815, 625024338.374800
1820, 625024362.413200
1822, 625024373.686600
1824, 625024383.014400
1829, 625024405.990700
1832, 625024420.547100
1835, 625024436.453400
1837, 625024445.767100
1840, 625024462.459400
1847, 625024495.934900
1849, 625024505.380700
1854, 625024529.518500
1857, 625024545.816700
1859, 625024555.121300
1861, 625024565.553500
1863, 625024578.830100
1872, 625024620.213200
1874, 625024633.185500
1876, 625024642.564000
1879, 625024654.443000
1884, 625024679.232900
1887, 625024696.348100
1889, 625024707.490100
1892, 625024721.193900
1897, 625024745.900400
1899, 625024755.913100
1902, 625024770.379900
1907, 625024795.620700
1909, 625024804.646900
1912, 625024820.099800
1917, 625024845.894800
1919, 625024854.917000
1921, 625024865.164800
1925, 625024886.656800
1927, 625024895.624800
1932, 625024920.160300
1937, 625024946.577100
1940, 625024959.151600
1942, 625024969.906700
1944, 625024979.648300
1948, 625025003.567000
1954, 625025029.590400
1955, 625025038.670400
1958, 625025049.198600
1960, 625025062.064700
1965, 625025087.314600
1970, 625025112.361300
1972, 625025121.111000
1975, 625025136.249600
1980, 625025162.429700
1982, 625025172.673100
1985, 625025188.576200
1990, 625025212.791200
1992, 625025223.071000
1995, 625025237.749400
1999, 625025255.654300
2002, 625025269.985400
2005, 625025286.664000
2008, 625025303.294900
2012, 625025319.911100
2015, 625025336.788400
2018, 625025353.474700
2022, 625025370.092200
2025, 625025386.237300
2029, 625025404.220700
2032, 625025419.852300
2035, 625025436.399900
2038, 625025453.221100
2042, 625025469.263800
2044, 625025479.968100
2047, 625025498.844600
2052, 625025520.409500
2055, 625025536.987300
2057, 625025546.291900
2059, 625025555.416400
2065, 625025587.595900
2070, 625025612.795700
2072, 625025622.133600
2075, 625025637.905600
2079, 625025656.292800
2083, 625025678.643300
2087, 625025696.312000
2090, 625025712.170700
2092, 625025721.470600
2094, 625025731.209800
2099, 625025754.295000
2104, 625025779.470800
2105, 625025788.738600
2107, 625025798.055500
2112, 625025820.621900
2118, 625025852.377000
2120, 625025861.813400
2122, 625025872.947200
2128, 625025902.358500
2130, 625025912.784100
2133, 625025928.988700
2137, 625025946.070700
2140, 625025962.476600
2144, 625025979.109500
2147, 625025995.765000
2150, 625026012.541800
2154, 625026029.957400
2157, 625026045.809200
2160, 625026062.671600
2163, 625026078.973400
2167, 625026095.975900
2170, 625026112.793900
2172, 625026122.075100
2175, 625026137.865900
2179, 625026155.046200
2183, 625026178.535800
2187, 625026195.629300
2189, 625026204.934100
2191, 625026215.189600
2195, 625026237.815600
2198, 625026253.682800
2202, 625026269.830300
2205, 625026286.917600
2209, 625026304.349800
2212, 625026319.958700
2215, 625026336.508900
2218, 625026353.554600
2222, 625026370.075500
2225, 625026387.568400
2228, 625026403.133800
2234, 625026429.195800
2236, 625026439.356700
2239, 625026454.920100
2242, 625026471.933400
2247, 625026495.475500
2250, 625026512.228600
2253, 625026528.693400
2255, 625026536.567500
2260, 625026562.051400
2263, 625026578.885100
2265, 625026588.076900
2267, 625026597.004500
2272, 625026619.965100
2277, 625026645.683600
2279, 625026654.704300
2280, 625026663.653600
2285, 625026686.409100
2288, 625026703.604500
2292, 625026719.550400
2294, 625026731.243300
2297, 625026745.738800
2300, 625026762.524100
2307, 625026795.771800
2309, 625026804.671400
2312, 625026819.471100
2318, 625026852.731800
2320, 625026863.023100
2322, 625026872.516800
2327, 625026896.023800
2330, 625026912.962800
2332, 625026922.195700
2334, 625026931.032800
2338, 625026953.225800
2343, 625026979.023300
2345, 625026988.120100
