Frame Number, Receipt Time
33, 158652205.739700
137, 158652215.439000
139, 158652224.235100
143, 158652246.856500
147, 158652265.045900
148, 158652272.805300
153, 158652296.698700
157, 158652314.273200
158, 158652321.943600
163, 158652348.141500
167, 158652364.732600
168, 158652372.477400
171, 158652385.955100
175, 158652405.007000
178, 158652420.906700
183, 158652448.226100
187, 158652464.884600
190, 158652481.594400
194, 158652501.192100
197, 158652522.137800
198, 158652524.931700
203, 158652550.656300
207, 158652565.113400
210, 158652581.545600
213, 158652598.995800
217, 158652613.603500
220, 158652632.122600
223, 158652647.936400
227, 158652666.110000
230, 158652680.977600
233, 158652696.903300
237, 158652714.306500
240, 158652731.254000
243, 158652748.085600
247, 158652763.725700
248, 158652771.452600
251, 158652787.155300
255, 158652804.115000
258, 158652821.223700
260, 158652832.857100
267, 158652863.839600
270, 158652880.071100
274, 158652898.777200
278, 158652922.472900
280, 158652932.287500
283, 158652946.655800
285, 158652954.591900
290, 158652981.539100
293, 158652998.169500
295, 158653004.915600
300, 158653033.155500
304, 158653048.353900
305, 158653057.094300
310, 158653080.446200
313, 158653098.123700
315, 158653106.045300
320, 158653130.054100
322, 158653138.587200
324, 158653154.297600
330, 158653181.251800
334, 158653198.807600
335, 158653206.878200
338, 158653219.243500
341, 158653237.953800
345, 158653255.145100
348, 158653271.859200
353, 158653297.980700
357, 158653315.244500
360, 158653332.129700
361, 158653337.790500
367, 158653364.239000
370, 158653381.355000
372, 158653388.932700
377, 158653415.202700
380, 158653432.727800
382, 158653439.791400
387, 158653464.974500
390, 158653481.155400
393, 158653496.858900
395, 158653504.782000
400, 158653531.305200
404, 158653551.198000
405, 158653558.916400
410, 158653579.984600
413, 158653598.177500
416, 158653613.557600
420, 158653633.180200
423, 158653647.356900
427, 158653664.737800
430, 158653680.223600
434, 158653698.438300
437, 158653714.379800
440, 158653730.121000
444, 158653749.170000
447, 158653765.744100
450, 158653781.449500
452, 158653791.025500
456, 158653813.222800
460, 158653832.176800
462, 158653839.470100
466, 158653863.209800
470, 158653881.468600
472, 158653889.280400
476, 158653913.731800
480, 158653931.486700
482, 158653939.177500
485, 158653954.155600
490, 158653982.465500
494, 158654000.409300
495, 158654008.104000
500, 158654031.462800
503, 158654048.519900
507, 158654064.476500
510, 158654082.971500
513, 158654097.766000
517, 158654117.200200
521, 158654137.469400
524, 158654148.417800
527, 158654165.014100
528, 158654173.377600
534, 158654198.384400
537, 158654215.850700
539, 158654223.887500
543, 158654247.350400
547, 158654264.825200
549, 158654273.548900
553, 158654297.033900
556, 158654313.258900
558, 158654321.807400
563, 158654348.118100
567, 158654365.084600
568, 158654375.821400
571, 158654385.997100
575, 158654407.131000
0, 158654421.764100
3, 158654437.215400
7, 158654454.347100
12, 158654482.086500
17, 158654504.765500
20, 158654523.684700
22, 158654530.044600
25, 158654547.437700
29, 158654564.661700
30, 158654575.663900
36, 158654598.414700
39, 158654615.528600
42, 158654632.065500
45, 158654649.011200
48, 158654664.254500
52, 158654681.136600
55, 158654697.873000
59, 158654714.958500
62, 158654732.494600
65, 158654747.600100
69, 158654766.423300
72, 158654781.693600
75, 158654798.159900
77, 158654806.109700
80, 158654820.024600
83, 158654837.413400
87, 158654856.346800
89, 158654865.881200
95, 158654896.596700
98, 158654913.127600
102, 158654931.405100
105, 158654948.074500
107, 158654956.242200
112, 158654981.212000
115, 158654998.108300
117, 158655005.953600
122, 158655031.279200
125, 158655048.083600
127, 158655055.235000
132, 158655081.099600
135, 158655098.347600
137, 158655106.132700
142, 158655130.349900
146, 158655148.430900
147, 158655158.981700
150, 158655171.343800
155, 158655198.106100
159, 158655215.220700
161, 158655223.361400
163, 158655235.963600
167, 158655254.319000
170, 158655270.749700
173, 158655287.418900
177, 158655304.442500
182, 158655331.156700
186, 158655348.257000
187, 158655355.981200
192, 158655381.045400
195, 158655398.100400
197, 158655407.559500
202, 158655430.044900
205, 158655447.975400
207, 158655456.361000
212, 158655481.831700
216, 158655498.301300
219, 158655514.479800
Frame Number, Receipt Time
223, 158655537.876500
227, 158655554.148100
232, 158655581.575800
236, 158655598.437700
239, 158655614.459300
242, 158655631.111300
245, 158655646.800200
249, 158655665.107600
252, 158655681.527600
255, 158655696.561000
259, 158655716.596100
262, 158655733.762500
265, 158655746.860400
269, 158655766.142100
272, 158655779.857500
276, 158655798.875900
277, 158655806.021000
282, 158655830.320000
286, 158655848.670200
287, 158655856.878300
292, 158655881.693200
295, 158655898.220900
297, 158655906.501200
302, 158655929.996700
303, 158655937.809500
307, 158655954.743500
309, 158655966.174200
315, 158655996.801600
317, 158656007.014000
320, 158656019.751900
323, 158656037.406500
327, 158656054.533400
332, 158656082.479100
335, 158656098.251000
339, 158656113.631900
342, 158656130.881800
344, 158656139.414200
349, 158656164.898300
352, 158656182.728500
354, 158656189.580700
359, 158656215.700300
362, 158656231.249600
364, 158656239.213500
369, 158656265.420000
372, 158656281.416500
374, 158656289.855900
379, 158656314.596000
382, 158656331.245700
383, 158656338.969600
387, 158656354.041100
392, 158656380.532000
394, 158656388.878200
396, 158656402.876800
400, 158656421.241700
403, 158656437.168700
407, 158656454.295200
409, 158656467.091800
415, 158656496.714800
419, 158656513.562400
422, 158656530.276900
426, 158656548.304000
427, 158656557.617500
432, 158656581.230800
435, 158656598.359800
438, 158656613.504200
442, 158656631.320500
445, 158656646.867200
449, 158656666.065500
452, 158656679.790200
455, 158656696.752000
459, 158656714.839800
462, 158656731.140900
465, 158656746.885700
469, 158656764.532300
472, 158656781.082700
475, 158656796.766800
477, 158656805.170400
480, 158656821.465000
483, 158656839.245200
487, 158656854.203100
490, 158656870.585800
495, 158656897.863400
499, 158656916.319200
502, 158656933.131300
504, 158656941.291000
509, 158656963.722500
512, 158656981.404800
514, 158656988.982200
519, 158657013.759000
522, 158657029.968200
523, 158657037.851200
529, 158657065.983100
532, 158657082.449400
534, 158657088.757600
539, 158657114.669800
542, 158657131.369900
544, 158657138.191000
547, 158657154.076600
550, 158657171.273000
553, 158657187.637400
556, 158657199.595900
562, 158657229.948100
565, 158657246.767700
569, 158657264.565300
570, 158657272.502700
575, 158657298.137300
2, 158657322.061600
4, 158657331.159900
7, 158657348.080000
9, 158657355.835200
14, 158657381.765200
18, 158657398.381700
19, 158657406.148100
24, 158657430.095400
28, 158657448.413600
29, 158657456.538000
34, 158657482.008200
38, 158657498.249400
41, 158657514.674400
44, 158657531.461200
46, 158657539.199700
48, 158657553.045200
54, 158657579.945400
57, 158657596.971800
61, 158657614.787300
64, 158657631.029500
67, 158657647.924300
71, 158657664.944800
74, 158657681.020600
77, 158657697.970300
81, 158657713.538200
84, 158657730.459500
87, 158657747.584100
91, 158657764.528100
94, 158657781.260300
98, 158657798.548000
99, 158657807.070600
104, 158657830.048700
107, 158657848.085500
109, 158657855.924000
114, 158657880.042400
117, 158657896.665100
119, 158657904.896600
124, 158657929.916100
125, 158657937.818500
127, 158657947.561900
134, 158657980.324500
136, 158657988.691100
138, 158658002.738800
142, 158658020.836500
144, 158658032.572500
150, 158658063.162900
154, 158658079.825400
157, 158658096.942100
160, 158658113.201100
164, 158658131.034800
167, 158658146.802700
171, 158658164.877400
172, 158658172.777900
177, 158658197.089600
181, 158658214.773300
182, 158658222.633500
187, 158658246.544800
191, 158658265.354400
193, 158658273.624000
198, 158658298.348600
201, 158658315.116700
202, 158658322.896400
205, 158658336.095800
211, 158658363.687500
214, 158658380.081000
216, 158658388.340000
219, 158658403.443700
222, 158658420.962400
225, 158658437.113200
229, 158658454.128300
232, 158658470.797500
238, 158658498.413600
241, 158658514.611000
244, 158658530.512200
247, 158658548.137600
249, 158658555.738400
254, 158658579.994800
257, 158658596.775800
261, 158658614.837800
264, 158658631.645900
267, 158658648.001900
271, 158658664.119300
274, 158658681.051600
277, 158658697.942400
281, 158658714.481200
284, 158658730.945300
287, 158658747.568900
291, 158658764.391800
294, 158658781.218900
298, 158658798.607200
299, 158658807.177000
302, 158658819.384600
