Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
895523, 615532614.566800, 0.003180, 0.000173, 0.001253, 0.000137, 
895530, 615532649.335000, 0.003411, 0.000409, 0.001564, 0.000102, 
895532, 615532658.129800, 0.003381, 0.000321, 0.001161, 0.000103, 
895533, 615532665.216000, 0.003230, 0.000163, 0.001106, 0.000106, 
895534, 615532668.492300, 0.003310, 0.000415, 0.001288, 0.000105, 
895535, 615532672.069500, 0.003231, 0.000144, 0.001089, 0.000105, 
895536, 615532677.213300, 0.003241, 0.000185, 0.001180, 0.000104, 
895537, 615532682.669300, 0.003743, 0.000156, 0.001118, 0.000112, 
895538, 615532687.160900, 0.003250, 0.000169, 0.001135, 0.000113, 
895539, 615532692.198500, 0.003179, 0.000166, 0.001204, 0.000106, 
895540, 615532699.769200, 0.003367, 0.000401, 0.001162, 0.000104, 
895541, 615532706.011000, 0.003356, 0.000373, 0.001252, 0.000103, 
895542, 615532709.385000, 0.003228, 0.000162, 0.001201, 0.000115, 
895543, 615532712.660300, 0.003349, 0.000383, 0.001137, 0.000111, 
895544, 615532717.181600, 0.003179, 0.000185, 0.001166, 0.000108, 
895545, 615532722.575400, 0.003419, 0.000363, 0.001190, 0.000113, 
895546, 615532727.473500, 0.003486, 0.000232, 0.001160, 0.000110, 
895547, 615532732.658300, 0.003739, 0.000176, 0.001154, 0.000110, 
895548, 615532737.939100, 0.003451, 0.000427, 0.001461, 0.000104, 
895549, 615532742.571000, 0.003375, 0.000390, 0.001221, 0.000099, 
895550, 615532747.612700, 0.003387, 0.000386, 0.001262, 0.000098, 
895551, 615532752.601400, 0.003368, 0.000386, 0.001252, 0.000101, 0.000101
895552, 615532757.306600, 0.003251, 0.000193, 0.001275, 0.000106, 0.000101
895553, 615532762.645300, 0.003267, 0.000398, 0.001337, 0.000102, 0.000097
895554, 615532767.169900, 0.003245, 0.000166, 0.001173, 0.000110, 0.000097
895555, 615532772.187900, 0.003221, 0.000177, 0.001176, 0.000111, 0.000099
895556, 615532777.222000, 0.003173, 0.000179, 0.001187, 0.000137, 0.000099
895557, 615532782.517300, 0.003423, 0.000238, 0.001227, 0.000126, 0.000098
895558, 615532787.238700, 0.003220, 0.000179, 0.001218, 0.000114, 0.000098
895559, 615532793.418300, 0.003315, 0.000292, 0.001121, 0.000102, 0.000097
895560, 615532797.202600, 0.003244, 0.000197, 0.001199, 0.000093, 0.000097
895561, 615532802.324700, 0.003256, 0.000183, 0.001282, 0.000111, 0.000101
895562, 615532807.725700, 0.003427, 0.000450, 0.001167, 0.000141, 0.000101
895563, 615532812.467500, 0.003426, 0.000377, 0.001086, 0.000099, 0.000101
895564, 615532817.440400, 0.003253, 0.000196, 0.001377, 0.000121, 0.000101
895565, 615532822.624600, 0.003330, 0.000395, 0.001268, 0.000139, 0.000073
895566, 615532827.577000, 0.003390, 0.000409, 0.001200, 0.000099, 0.000073
895567, 615532832.718400, 0.003496, 0.000194, 0.001410, 0.000122, 0.000073
