Frame Number, Timestamp
355, 157338360.171100
358, 157338377.181800
360, 157338386.297900
365, 157338410.086200
368, 157338428.188000
370, 157338435.970500
375, 157338459.979000
378, 157338478.142500
380, 157338485.689500
385, 157338511.801200
388, 157338528.469000
390, 157338536.163600
395, 157338560.002100
398, 157338576.984700
400, 157338586.078300
403, 157338600.256600
406, 157338618.354200
409, 157338634.073400
413, 157338650.397800
416, 157338667.757100
420, 157338684.449900
423, 157338700.751800
428, 157338728.131500
432, 157338744.531300
435, 157338759.881000
438, 157338776.886700
440, 157338785.814900
445, 157338810.001200
448, 157338827.165900
450, 157338835.274500
455, 157338861.608200
458, 157338877.945700
460, 157338884.633300
465, 157338910.045100
468, 157338926.717800
470, 157338935.839800
475, 157338959.999600
478, 157338976.909800
480, 157338984.988900
485, 157339011.398600
488, 157339027.476500
492, 157339044.556800
495, 157339061.674100
498, 157339076.923400
502, 157339095.813600
505, 157339110.173300
508, 157339128.125100
511, 157339143.637400
515, 157339161.399500
518, 157339176.784700
522, 157339194.484600
523, 157339202.093000
528, 157339228.246600
532, 157339244.873000
533, 157339251.726600
538, 157339276.506700
541, 157339293.188800
543, 157339302.296100
548, 157339326.889800
552, 157339344.608500
553, 157339352.303200
558, 157339376.620600
562, 157339394.547900
563, 157339402.123000
566, 157339416.106100
569, 157339434.104500
573, 157339450.274600
576, 157339467.132900
1, 157339484.457900
5, 157339500.491600
10, 157339528.026800
14, 157339544.560700
17, 157339559.979900
20, 157339576.803900
22, 157339584.740000
27, 157339610.999500
30, 157339628.257600
32, 157339637.002300
37, 157339663.130800
40, 157339678.241500
42, 157339686.932300
47, 157339710.132600
50, 157339726.971500
52, 157339735.318100
57, 157339761.226200
60, 157339778.060300
62, 157339785.943600
64, 157339799.034900
70, 157339826.845700
73, 157339843.163500
75, 157339851.010900
78, 157339866.033200
84, 157339894.416400
87, 157339911.247000
90, 157339928.297900
94, 157339944.860400
97, 157339960.994000
100, 157339976.809900
102, 157339984.519500
107, 157340011.281500
110, 157340028.156900
114, 157340044.226400
117, 157340060.911000
120, 157340077.550300
123, 157340094.411400
127, 157340109.893100
130, 157340127.067200
133, 157340143.184200
137, 157340160.998100
140, 157340177.958300
143, 157340193.126600
145, 157340200.825300
148, 157340217.425400
151, 157340233.907100
155, 157340250.803000
158, 157340267.939500
162, 157340284.577900
167, 157340311.470100
170, 157340327.810800
173, 157340343.350600
177, 157340360.896700
180, 157340377.810700
182, 157340385.802100
187, 157340411.351300
190, 157340427.735200
191, 157340434.162800
197, 157340461.262000
200, 157340478.183300
202, 157340486.450000
207, 157340509.926100
210, 157340528.031800
212, 157340535.955900
218, 157340566.583400
220, 157340577.684600
224, 157340594.458400
227, 157340611.245000
228, 157340619.031900
231, 157340633.027100
235, 157340650.503000
238, 157340667.196800
242, 157340684.371400
247, 157340711.137400
250, 157340727.693400
