Frame Number, Receipt Time
392, 157058177.819100
394, 157058177.890500
399, 157058177.902300
402, 157058177.908900
385, 157058181.439400
388, 157058197.105000
391, 157058213.844400
395, 157058230.830300
398, 157058247.322000
401, 157058264.421000
404, 157058279.175000
408, 157058296.766400
411, 157058314.312500
414, 157058330.426100
418, 157058347.339300
421, 157058363.863600
423, 157058372.134600
428, 157058397.394700
431, 157058414.287100
433, 157058421.367900
438, 157058446.146200
441, 157058463.099600
443, 157058470.732200
448, 157058497.371900
451, 157058514.248900
453, 157058521.826100
458, 157058547.461800
459, 157058554.472600
462, 157058568.992000
468, 157058597.481300
471, 157058613.843800
473, 157058621.097700
476, 157058637.943700
481, 157058663.855700
485, 157058681.088300
488, 157058696.064900
491, 157058713.953400
495, 157058730.885300
496, 157058737.867800
501, 157058762.558500
505, 157058781.031100
506, 157058789.908700
511, 157058813.641700
514, 157058829.377100
516, 157058838.556900
521, 157058866.339300
525, 157058882.380000
526, 157058888.597900
531, 157058916.381400
535, 157058930.519400
536, 157058937.221700
541, 157058964.695700
545, 157058980.847800
546, 157058990.492900
549, 157059001.975800
552, 157059020.380300
556, 157059037.132700
561, 157059065.711800
566, 157059086.631900
569, 157059103.136200
573, 157059122.230100
0, 157059147.820700
2, 157059157.146500
3, 157059165.148200
7, 157059180.784300
10, 157059195.762400
13, 157059214.820900
17, 157059232.943100
20, 157059247.045500
23, 157059264.462100
26, 157059280.745900
30, 157059297.312400
33, 157059315.163500
36, 157059329.981600
40, 157059347.126400
43, 157059364.771000
47, 157059382.964900
48, 157059390.138200
51, 157059406.029200
54, 157059420.042600
58, 157059440.609500
61, 157059453.258200
64, 157059470.149700
68, 157059488.409300
73, 157059513.843800
77, 157059530.964300
80, 157059547.650500
81, 157059555.344900
86, 157059581.159200
90, 157059597.678300
92, 157059607.198500
96, 157059629.300000
100, 157059647.623900
101, 157059654.912300
106, 157059680.375200
110, 157059698.019900
111, 157059704.035600
117, 157059731.025900
120, 157059747.516400
121, 157059754.975400
124, 157059770.702600
128, 157059786.553300
131, 157059803.940600
134, 157059820.409900
137, 157059831.805800
143, 157059864.681400
146, 157059880.562800
150, 157059896.460700
153, 157059912.402500
157, 157059930.588700
160, 157059947.542800
161, 157059955.333900
167, 157059980.575500
170, 157059997.351700
171, 157060004.167600
176, 157060030.441900
180, 157060047.282000
181, 157060055.107000
186, 157060079.366200
190, 157060097.656300
193, 157060114.005000
195, 157060122.033400
200, 157060146.338700
201, 157060154.184200
204, 157060168.585300
210, 157060196.992800
213, 157060213.904500
217, 157060230.583900
220, 157060247.200100
223, 157060263.613200
226, 157060280.343100
230, 157060296.289700
233, 157060314.094400
237, 157060330.563400
240, 157060347.052200
243, 157060362.474500
247, 157060380.778100
250, 157060397.599000
251, 157060405.096500
256, 157060429.446200
260, 157060447.356700
261, 157060454.825400
266, 157060479.381000
270, 157060496.370800
271, 157060503.977000
277, 157060530.817300
280, 157060547.557200
282, 157060555.569000
284, 157060568.744800
290, 157060597.636700
293, 157060612.457700
295, 157060620.986800
297, 157060635.193000
301, 157060653.642400
306, 157060680.391500
310, 157060697.339600
313, 157060713.643400
317, 157060730.761100
320, 157060747.499300
322, 157060755.854900
326, 157060779.299900
330, 157060797.681100
331, 157060805.227500
337, 157060830.833100
340, 157060847.635900
342, 157060855.578900
346, 157060879.455200
350, 157060897.894700
352, 157060905.996200
354, 157060919.084900
360, 157060947.455700
363, 157060964.019400
365, 157060970.431400
368, 157060986.699500
371, 157061003.558600
374, 157061020.448300
377, 157061031.633800
383, 157061062.584200
386, 157061079.426700
390, 157061095.648000
393, 157061113.982100
396, 157061129.111300
400, 157061147.623400
403, 157061164.047600
405, 157061172.056500
410, 157061197.610900
413, 157061213.812200
416, 157061230.346700
420, 157061247.099300
423, 157061264.188900
426, 157061280.175100
430, 157061295.714300
433, 157061313.415600
436, 157061330.378000
440, 157061347.658100
443, 157061362.365800
447, 157061380.702100
450, 157061397.100500
451, 157061404.940000
454, 157061418.527100
