Frame Number, Timestamp
91583, 611513001.893700
91584, 611513005.890700
91585, 611513010.474400
91586, 611513014.952700
91587, 611513019.723000
91588, 611513024.937500
91589, 611513029.762400
91590, 611513034.888700
91591, 611513039.920400
91592, 611513044.842700
91593, 611513049.968400
91594, 611513054.936400
91595, 611513059.846700
91596, 611513064.945500
91597, 611513069.778400
91598, 611513075.242600
91599, 611513080.289400
91600, 611513084.855300
91601, 611513090.389000
91602, 611513094.790200
91603, 611513100.026100
91604, 611513105.699900
91605, 611513109.963400
91606, 611513115.334800
91607, 611513119.986500
91608, 611513125.085600
91609, 611513130.124900
91610, 611513134.893700
91611, 611513141.667300
91612, 611513145.806400
91613, 611513150.769200
91614, 611513155.810700
91615, 611513160.500100
91616, 611513165.020700
91617, 611513170.040100
91618, 611513174.814100
91619, 611513182.735600
91620, 611513189.724700
91621, 611513201.844800
91622, 611513201.866600
91623, 611513201.872300
91624, 611513204.698700
91625, 611513209.894600
91626, 611513214.957800
91627, 611513219.944400
91628, 611513224.942400
91629, 611513229.949500
91630, 611513234.932100
91631, 611513240.028600
91632, 611513244.684000
91633, 611513249.998200
91634, 611513254.964200
91635, 611513260.289400
91636, 611513264.949300
91637, 611513269.753100
91638, 611513276.745800
91639, 611513281.255600
91640, 611513284.808200
91641, 611513292.725300
91642, 611513294.923700
91643, 611513299.770000
91644, 611513305.801200
91645, 611513313.302700
91646, 611513314.953400
91647, 611513320.805800
91648, 611513326.012600
91649, 611513330.280200
91650, 611513337.811100
91651, 611513340.373700
91652, 611513346.253800
91653, 611513350.197600
91654, 611513355.871400
91655, 611513360.375300
91656, 611513365.325500
91657, 611513370.200100
91658, 611513375.049100
91659, 611513380.167600
91660, 611513385.411100
91661, 611513390.302900
91662, 611513394.772300
91663, 611513400.019400
91664, 611513405.322400
91665, 611513411.307600
91666, 611513415.308300
91667, 611513421.128800
91668, 611513427.278200
91669, 611513433.395500
91670, 611513437.084500
91671, 611513441.215800
91672, 611513444.969100
91673, 611513449.940500
91674, 611513454.940200
91675, 611513461.948300
91676, 611513465.021200
91677, 611513470.018600
91678, 611513475.621000
91679, 611513480.356400
91680, 611513485.076300
91681, 611513490.775600
91682, 611513495.054900
91683, 611513499.986700
91684, 611513505.260700
91685, 611513510.707600
91686, 611513514.984900
91687, 611513519.969000
91688, 611513525.236800
91689, 611513529.951700
91690, 611513534.973100
91691, 611513540.136100
91692, 611513544.984400
91693, 611513549.987400
91694, 611513555.167700
91695, 611513560.351600
91696, 611513565.137700
91697, 611513570.334800
91698, 611513575.078000
91699, 611513579.961700
91700, 611513584.747800
91701, 611513590.062900
91702, 611513595.170300
91703, 611513600.287300
91704, 611513605.214500
91705, 611513610.420500
91706, 611513615.360900
91707, 611513620.802700
91708, 611513625.738000
91709, 611513630.085900
91710, 611513634.938000
91711, 611513640.066500
91712, 611513644.827900
91713, 611513650.067200
91714, 611513655.229200
91715, 611513659.987900
91716, 611513664.877000
91717, 611513669.996000
91718, 611513675.072000
91719, 611513679.973800
91720, 611513684.943900
91721, 611513689.977600
91722, 611513694.878400
91723, 611513699.890300
91724, 611513704.955500
91725, 611513710.094100
91726, 611513715.053100
91727, 611513720.123500
91728, 611513724.912500
91729, 611513729.909500
91730, 611513734.952100
91731, 611513740.126400
91732, 611513744.865100
91733, 611513749.880100
91734, 611513755.334100
91735, 611513759.840200
91736, 611513764.920500
91737, 611513770.142600
91738, 611513775.122400
91739, 611513779.896400
91740, 611513784.877600
91741, 611513790.345800
91742, 611513794.883000
91743, 611513799.996300
91744, 611513804.899500
91745, 611513810.426400
91746, 611513815.287600
91747, 611513820.018600
91748, 611513825.090800
91749, 611513830.040700
91750, 611513835.889100
91751, 611513840.656600
91752, 611513844.989000
91753, 611513851.898600
91754, 611513855.631900
91755, 611513860.910000
91756, 611513865.482300
91757, 611513869.838400
91758, 611513875.077900
91759, 611513879.966300
91760, 611513884.910500
91761, 611513890.300400
91762, 611513894.870200
91763, 611513899.920300
91764, 611513905.374400
91765, 611513909.966400
91766, 611513915.120300
91767, 611513920.502800
91768, 611513925.844400
91769, 611513930.251300
91770, 611513934.966200
91771, 611513940.315700
91772, 611513944.900500
91773, 611513949.844600
91774, 611513955.698400
91775, 611513963.431900
91776, 611513965.886900
91777, 611513970.429600
91778, 611513978.434200
91779, 611513981.031000
91780, 611513986.420000
91781, 611513993.441300
91782, 611513997.888400
91783, 611514002.425800
91784, 611514006.060000
91785, 611514013.889100
91786, 611514015.461500
91787, 611514021.141200
91788, 611514025.871400
91789, 611514031.069800
91790, 611514035.591600
91791, 611514040.000500
91792, 611514044.762600
91793, 611514049.839000
91794, 611514055.956700
91795, 611514061.890100
91796, 611514067.083700
91797, 611514070.945700
91798, 611514077.891900
91799, 611514081.081800
91800, 611514084.942000
91801, 611514090.058000
91802, 611514094.802500
91803, 611514099.954100
91804, 611514106.049600
91805, 611514109.744200
91806, 611514115.084300
91807, 611514119.966800
91808, 611514125.069100
91809, 611514130.407900
91810, 611514134.996900
91811, 611514142.619800
91812, 611514147.627000
91813, 611514150.669200
91814, 611514157.135400
91815, 611514160.179200
91816, 611514164.751800
91817, 611514170.671500
91818, 611514175.415300
91819, 611514180.642900
91820, 611514187.629900
91821, 611514190.879900
91822, 611514196.091800
91823, 611514200.133300
91824, 611514204.857200
91825, 611514209.894700
91826, 611514214.734400
91827, 611514219.958400
91828, 611514225.087900
91829, 611514229.823900
91830, 611514234.841700
91831, 611514240.319500
91832, 611514246.807600
91833, 611514252.618300
91834, 611514261.484000
91835, 611514261.515900
91836, 611514266.555000
91837, 611514271.714600
91838, 611514274.869100
91839, 611514279.873600
91840, 611514285.901700
91841, 611514292.647700
91842, 611514298.633100
91843, 611514304.470500
91844, 611514306.026900
91845, 611514314.634900
91846, 611514321.131900
91847, 611514321.146700
91848, 611514327.380200
91849, 611514331.051500
91850, 611514334.963200
91851, 611514340.067000
91852, 611514346.082600
91853, 611514349.889300
91854, 611514354.914100
91855, 611514359.829700
91856, 611514365.891400
91857, 611514371.882900
91858, 611514381.047700
91859, 611514381.081800
91860, 611514391.450800
91861, 611514391.477400
91862, 611514397.662200
91863, 611514405.050700
91864, 611514405.068500
91865, 611514412.664600
91866, 611514418.665100
91867, 611514419.951100
91868, 611514424.936400
91869, 611514429.871200
91870, 611514434.859400
91871, 611514439.871800
91872, 611514445.662700
91873, 611514454.064400
91874, 611514455.018800
91875, 611514461.893000
91876, 611514468.526100
91877, 611514471.132300
91878, 611514477.891700
91879, 611514480.089100
91880, 611514484.980000
91881, 611514489.920700
91882, 611514494.856200
91883, 611514499.962800
91884, 611514505.087100
91885, 611514509.832800
91886, 611514516.064300
91887, 611514520.901600
91888, 611514525.273400
91889, 611514531.028300
91890, 611514536.421700
91891, 611514540.053500
91892, 611514546.370600
91893, 611514550.321300
91894, 611514555.130100
91895, 611514560.555000
91896, 611514565.231000
91897, 611514570.027900
91898, 611514574.974600
91899, 611514579.832700
91900, 611514584.876100
91901, 611514589.892100
91902, 611514594.864800
91903, 611514599.930700
91904, 611514604.832700
91905, 611514609.905200
91906, 611514614.874700
91907, 611514619.794200
91908, 611514624.835000
91909, 611514629.986700
91910, 611514634.784700
91911, 611514640.493700
91912, 611514644.997400
91913, 611514649.932200
91914, 611514654.903800
91915, 611514659.894600
91916, 611514664.852300
91917, 611514669.870800
91918, 611514674.751400
91919, 611514680.017900
91920, 611514684.753000
91921, 611514689.822100
91922, 611514694.979800
