Frame Number, Receipt Time
256, 616860291.522500
260, 616860300.363200
263, 616860312.542200
267, 616860330.909700
269, 616860343.903800
273, 616860361.914800
275, 616860369.789700
279, 616860394.272200
283, 616860412.061300
285, 616860420.916200
288, 616860435.154100
293, 616860460.668900
296, 616860479.060100
298, 616860487.163300
301, 616860502.275900
304, 616860518.843100
308, 616860535.762300
311, 616860551.767200
314, 616860568.750600
318, 616860584.969100
323, 616860611.925900
326, 616860629.200600
329, 616860644.193000
331, 616860653.652500
336, 616860677.757400
340, 616860695.832300
342, 616860704.734400
346, 616860728.875600
350, 616860745.802300
351, 616860753.971500
356, 616860777.500600
360, 616860795.405200
361, 616860804.192400
364, 616860817.193100
370, 616860845.575600
373, 616860861.978900
374, 616860868.965600
378, 616860884.923500
381, 616860902.090300
384, 616860919.205100
387, 616860932.595400
390, 616860946.630800
396, 616860977.720800
399, 616860993.909200
400, 616860998.513700
404, 616861018.310300
410, 616861045.792700
413, 616861062.268000
416, 616861077.696400
419, 616861094.109300
421, 616861102.485300
426, 616861128.992800
430, 616861145.054700
433, 616861160.838000
436, 616861178.763000
440, 616861195.228700
443, 616861212.117500
446, 616861227.439500
449, 616861244.176600
453, 616861262.288400
456, 616861279.006500
460, 616861295.684300
463, 616861310.716500
466, 616861328.819800
470, 616861345.165300
473, 616861361.889100
478, 616861386.225100
480, 616861395.432600
483, 616861412.082700
486, 616861429.013300
488, 616861437.086900
493, 616861462.063500
496, 616861478.930600
498, 616861487.130600
503, 616861510.869600
506, 616861529.157900
508, 616861538.068800
513, 616861562.336100
516, 616861578.940600
518, 616861586.099500
523, 616861610.760700
526, 616861627.438900
528, 616861637.264500
531, 616861650.966500
536, 616861677.716700
538, 616861686.461300
541, 616861700.599400
544, 616861718.507200
548, 616861735.314800
551, 616861751.893200
554, 616861768.512500
560, 616861795.593900
563, 616861812.060800
566, 616861828.918900
568, 616861837.107200
573, 616861860.806100
576, 616861878.824400
0, 616861887.561400
5, 616861910.790400
9, 616861929.451900
10, 616861938.708200
15, 616861960.660200
18, 616861978.616900
20, 616861986.850900
25, 616862010.570600
29, 616862029.295800
30, 616862037.786400
35, 616862060.894700
38, 616862078.806400
41, 616862094.095300
45, 616862112.001700
47, 616862120.055900
50, 616862134.283600
55, 616862161.999300
58, 616862178.901300
62, 616862195.525500
65, 616862211.818200
68, 616862228.804400
71, 616862243.926500
75, 616862262.083800
78, 616862278.690700
81, 616862294.082900
85, 616862313.264200
88, 616862327.263400
92, 616862345.408800
95, 616862362.146800
98, 616862379.088700
100, 616862387.114100
105, 616862412.352100
107, 616862421.637000
110, 616862435.556900
115, 616862462.183000
117, 616862470.253900
120, 616862485.800800
123, 616862501.797700
126, 616862518.482900
130, 616862534.517600
132, 616862546.711600
138, 616862577.182800
142, 616862595.380100
145, 616862612.085200
148, 616862628.760500
152, 616862645.335800
153, 616862653.374500
158, 616862678.993900
162, 616862695.390800
163, 616862702.751300
168, 616862728.784300
172, 616862745.305800
173, 616862752.533800
178, 616862777.495300
182, 616862796.838500
184, 616862804.901700
186, 616862817.773600
192, 616862845.301500
195, 616862862.017500
197, 616862870.330800
200, 616862884.352400
203, 616862902.424500
207, 616862919.400500
210, 616862935.268600
213, 616862952.922900
218, 616862978.561200
222, 616862995.239200
225, 616863010.697100
228, 616863028.789000
232, 616863045.590100
234, 616863054.331800
238, 616863077.536100
242, 616863095.559300
245, 616863112.023800
246, 616863119.203600
251, 616863144.067300
252, 616863146.942300
258, 616863179.213200
262, 616863195.250100
265, 616863211.873500
268, 616863228.881800
272, 616863245.060900
275, 616863260.656300
278, 616863277.439700
282, 616863295.179400
285, 616863311.924000
288, 616863328.893900
292, 616863345.171100
295, 616863362.147900
298, 616863378.910300
302, 616863395.574000
305, 616863412.107800
307, 616863419.951300
311, 616863444.201300
315, 616863461.026200
317, 616863470.730900
322, 616863495.512200
325, 616863512.059500
327, 616863521.308100
331, 616863544.095400
335, 616863562.072900
